"Date","LFUNTTTTCAM647S"
1960-01-01,385000
1960-02-01,407000
1960-03-01,415000
1960-04-01,433000
1960-05-01,460000
1960-06-01,428000
1960-07-01,456000
1960-08-01,491000
1960-09-01,484000
1960-10-01,498000
1960-11-01,490000
1960-12-01,492000
1961-01-01,493000
1961-02-01,494000
1961-03-01,489000
1961-04-01,495000
1961-05-01,5e+05
1961-06-01,484000
1961-07-01,470000
1961-08-01,440000
1961-09-01,449000
1961-10-01,424000
1961-11-01,399000
1961-12-01,391000
1962-01-01,391000
1962-02-01,408000
1962-03-01,396000
1962-04-01,392000
1962-05-01,368000
1962-06-01,380000
1962-07-01,396000
1962-08-01,377000
1962-09-01,377000
1962-10-01,377000
1962-11-01,394000
1962-12-01,401000
1963-01-01,392000
1963-02-01,388000
1963-03-01,396000
1963-04-01,380000
1963-05-01,381000
1963-06-01,371000
1963-07-01,365000
1963-08-01,360000
1963-09-01,364000
1963-10-01,353000
1963-11-01,350000
1963-12-01,341000
1964-01-01,339000
1964-02-01,337000
1964-03-01,334000
1964-04-01,335000
1964-05-01,320000
1964-06-01,330000
1964-07-01,317000
1964-08-01,320000
1964-09-01,314000
1964-10-01,339000
1964-11-01,298000
1964-12-01,284000
1965-01-01,299000
1965-02-01,291000
1965-03-01,288000
1965-04-01,312000
1965-05-01,286000
1965-06-01,290000
1965-07-01,282000
1965-08-01,269000
1965-09-01,255000
1965-10-01,225000
1965-11-01,256000
1965-12-01,255000
1966-01-01,252000
1966-02-01,252000
1966-03-01,248000
1966-04-01,239000
1966-05-01,236000
1966-06-01,217000
1966-07-01,243000
1966-08-01,264000
1966-09-01,272000
1966-10-01,247000
1966-11-01,265000
1966-12-01,263000
1967-01-01,275000
1967-02-01,287000
1967-03-01,294000
1967-04-01,298000
1967-05-01,288000
1967-06-01,278000
1967-07-01,290000
1967-08-01,284000
1967-09-01,287000
1967-10-01,315000
1967-11-01,316000
1967-12-01,344000
1968-01-01,334000
1968-02-01,346000
1968-03-01,360000
1968-04-01,351000
1968-05-01,345000
1968-06-01,376000
1968-07-01,373000
1968-08-01,367000
1968-09-01,343000
1968-10-01,352000
1968-11-01,363000
