"Date","LFWATTTTCAM647S"
1976-01-01,16852400
1976-02-01,16892000
1976-03-01,16930700
1976-04-01,16969400
1976-05-01,17008100
1976-06-01,17046800
1976-07-01,17085500
1976-08-01,17124400
1976-09-01,17154400
1976-10-01,17183400
1976-11-01,17211400
1976-12-01,17238100
1977-01-01,17270600
1977-02-01,17302400
1977-03-01,17329100
1977-04-01,17358700
1977-05-01,17394100
1977-06-01,17421500
1977-07-01,17449400
1977-08-01,17485100
1977-09-01,17513700
1977-10-01,17540600
1977-11-01,17567500
1977-12-01,17592800
1978-01-01,17623500
1978-02-01,17653900
1978-03-01,17679300
1978-04-01,17706900
1978-05-01,17741600
1978-06-01,17767500
1978-07-01,17792000
1978-08-01,17824400
1978-09-01,17850700
1978-10-01,17876800
1978-11-01,17902400
1978-12-01,17927300
1979-01-01,17958400
1979-02-01,17989100
1979-03-01,18014300
1979-04-01,18047300
1979-05-01,18073700
1979-06-01,18101000
1979-07-01,18133400
1979-08-01,18161400
1979-09-01,18189400
1979-10-01,18226000
1979-11-01,18255200
1979-12-01,18283800
1980-01-01,18317900
1980-02-01,18346400
1980-03-01,18373900
1980-04-01,18407700
1980-05-01,18437000
1980-06-01,18474100
1980-07-01,18501100
1980-08-01,18529000
1980-09-01,18564000
1980-10-01,18591500
1980-11-01,18617400
1980-12-01,18642600
1981-01-01,18671800
1981-02-01,18700600
1981-03-01,18725000
1981-04-01,18749900
1981-05-01,18775200
1981-06-01,18806100
1981-07-01,18829000
1981-08-01,18852500
1981-09-01,18880800
1981-10-01,18904400
1981-11-01,18927100
1981-12-01,18949700
1982-01-01,18976300
1982-02-01,19001700
1982-03-01,19023700
1982-04-01,19045600
1982-05-01,19068300
1982-06-01,19096200
1982-07-01,19115700
1982-08-01,19142000
1982-09-01,19162500
1982-10-01,19183200
1982-11-01,19203300
1982-12-01,19222600
1983-01-01,19244200
1983-02-01,19266500
1983-03-01,19285100
1983-04-01,19304200
1983-05-01,19328100
1983-06-01,19346500
1983-07-01,19363300
1983-08-01,19386400
1983-09-01,19405300
1983-10-01,19424200
1983-11-01,19443700
1983-12-01,19462200
1984-01-01,19483700
1984-02-01,19506200
1984-03-01,19524200
1984-04-01,19546800
1984-05-01,19566700
1984-06-01,19586500
1984-07-01,19609700
1984-08-01,19628800
1984-09-01,19648200
1984-10-01,19672400
1984-11-01,19691500
1984-12-01,19709600
1985-01-01,19730900
1985-02-01,19748600
1985-03-01,19766500
1985-04-01,19789400
1985-05-01,19809000
1985-06-01,19828700
1985-07-01,19852400
1985-08-01,19872800
1985-09-01,19898700
1985-10-01,19919100
1985-11-01,19939600
1985-12-01,19958200
1986-01-01,19981200
1986-02-01,19999000
1986-03-01,20017200
1986-04-01,20041300
1986-05-01,20062100
1986-06-01,20087600
1986-07-01,20105900
1986-08-01,20124500
1986-09-01,20147100
1986-10-01,20165800
1986-11-01,20183900
1986-12-01,20202600
1987-01-01,20225300
1987-02-01,20248600
1987-03-01,20268900
1987-04-01,20289900
1987-05-01,20311500
1987-06-01,20339200
1987-07-01,20360600
1987-08-01,20381600
1987-09-01,20408300
1987-10-01,20428500
1987-11-01,20448300
1987-12-01,20467100
1988-01-01,20489400
1988-02-01,20510800
1988-03-01,20530000
1988-04-01,20550600
1988-05-01,20577900
1988-06-01,20600000
1988-07-01,20622000
1988-08-01,20650400
1988-09-01,20672500
1988-10-01,20693600
1988-11-01,20714300
1988-12-01,20734500
1989-01-01,20763100
1989-02-01,20783300
1989-03-01,20805400
1989-04-01,20828200
1989-05-01,20858600
1989-06-01,20883000
1989-07-01,20907800
1989-08-01,20938900
1989-09-01,20963600
1989-10-01,20993600
1989-11-01,21017000
1989-12-01,21039100
1990-01-01,21064500
1990-02-01,21085800
1990-03-01,21109500
1990-04-01,21142700
1990-05-01,21170000
1990-06-01,21197500
1990-07-01,21233100
1990-08-01,21261000
1990-09-01,21286800
1990-10-01,21317200
1990-11-01,21342500
1990-12-01,21366200
1991-01-01,21394700
1991-02-01,21418600
1991-03-01,21443800
1991-04-01,21475800
1991-05-01,21502000
1991-06-01,21528200
1991-07-01,21553800
1991-08-01,21571300
1991-09-01,21595600
1991-10-01,21614400
1991-11-01,21638000
1991-12-01,21663500
1992-01-01,21689100
1992-02-01,21706900
1992-03-01,21735900
1992-04-01,21759000
1992-05-01,21782800
1992-06-01,21811700
1992-07-01,21835000
1992-08-01,21857600
1992-09-01,21885100
1992-10-01,21906400
1992-11-01,21926200
1992-12-01,21946200
1993-01-01,21969300
1993-02-01,21991100
1993-03-01,22012400
1993-04-01,22032800
1993-05-01,22053500
1993-06-01,22082600
1993-07-01,22104900
1993-08-01,22132200
1993-09-01,22154200
1993-10-01,22174900
1993-11-01,22193600
1993-12-01,22212900
1994-01-01,22233700
1994-02-01,22256400
1994-03-01,22279100
1994-04-01,22302600
1994-05-01,22332600
1994-06-01,22356200
1994-07-01,22380700
1994-08-01,22411100
1994-09-01,22433500
1994-10-01,22455200
1994-11-01,22476200
1994-12-01,22495700
1995-01-01,22524700
1995-02-01,22545800
1995-03-01,22568600
1995-04-01,22592900
1995-05-01,22623500
1995-06-01,22647900
1995-07-01,22672600
1995-08-01,22702900
1995-09-01,22725800
1995-10-01,22749700
1995-11-01,22772300
1995-12-01,22793600
1996-01-01,22821000
1996-02-01,22844700
1996-03-01,22868700
1996-04-01,22892200
1996-05-01,22922400
1996-06-01,22945900
1996-07-01,22976200
1996-08-01,23000000
1996-09-01,23028400
1996-10-01,23050400
1996-11-01,23071900
1996-12-01,23092000
1997-01-01,23114700
1997-02-01,23134500
1997-03-01,23156300
1997-04-01,23185100
1997-05-01,23208600
1997-06-01,23237400
1997-07-01,23260100
1997-08-01,23283500
1997-09-01,23312700
1997-10-01,23335300
1997-11-01,23356400
1997-12-01,23375400
1998-01-01,23397500
1998-02-01,23419200
1998-03-01,23438600
1998-04-01,23459900
1998-05-01,23482100
1998-06-01,23509500
1998-07-01,23528900
1998-08-01,23547600
1998-09-01,23572200
1998-10-01,23592300
1998-11-01,23611500
1998-12-01,23629500
1999-01-01,23650900
1999-02-01,23672200
1999-03-01,23693500
1999-04-01,23716000
1999-05-01,23739900
1999-06-01,23769700
1999-07-01,23792900
1999-08-01,23820600
1999-09-01,23844800
1999-10-01,23869200
1999-11-01,23892800
1999-12-01,23915000
2000-01-01,23937800
2000-02-01,23963500
2000-03-01,23988600
2000-04-01,24014600
2000-05-01,24048500
2000-06-01,24076300
2000-07-01,24102500
2000-08-01,24134600
2000-09-01,24162100
2000-10-01,24189600
2000-11-01,24216400
2000-12-01,24241900
2001-01-01,24255300
2001-02-01,24280400
2001-03-01,24308100
2001-04-01,24344900
2001-05-01,24375100
2001-06-01,24406300
2001-07-01,24442100
2001-08-01,24470700
2001-09-01,24498400
2001-10-01,24525100
2001-11-01,24550900
2001-12-01,24575000
2002-01-01,24608400
2002-02-01,24634000
2002-03-01,24662400
2002-04-01,24699400
2002-05-01,24729800
2002-06-01,24761000
2002-07-01,24795800
2002-08-01,24818600
2002-09-01,24845800
2002-10-01,24868100
2002-11-01,24889700
2002-12-01,24909800
2003-01-01,24932700
2003-02-01,24953800
2003-03-01,24978600
2003-04-01,25009700
2003-05-01,25035100
2003-06-01,25068700
2003-07-01,25095900
2003-08-01,25121700
2003-09-01,25154000
2003-10-01,25179600
2003-11-01,25203700
2003-12-01,25225600
2004-01-01,25250000
2004-02-01,25276500
2004-03-01,25302800
2004-04-01,25330100
2004-05-01,25358700
2004-06-01,25395600
2004-07-01,25425100
2004-08-01,25459900
2004-09-01,25487300
2004-10-01,25513400
2004-11-01,25537200
2004-12-01,25560200
2005-01-01,25585500
2005-02-01,25613500
2005-03-01,25640900
2005-04-01,25668900
2005-05-01,25706500
2005-06-01,25738600
2005-07-01,25771700
2005-08-01,25810400
2005-09-01,25839500
2005-10-01,25867300
2005-11-01,25894400
2005-12-01,25918900
2006-01-01,25953300
2006-02-01,25978800
2006-03-01,26007000
2006-04-01,26036500
2006-05-01,26074900
2006-06-01,26106800
2006-07-01,26139100
2006-08-01,26177300
2006-09-01,26206500
2006-10-01,26234100
2006-11-01,26260800
2006-12-01,26285900
2007-01-01,26314700
2007-02-01,26335500
2007-03-01,26359900
2007-04-01,26391400
2007-05-01,26419300
2007-06-01,26449300
2007-07-01,26486500
2007-08-01,26517500
2007-09-01,26547000
2007-10-01,26576000
2007-11-01,26603700
2007-12-01,26629200
2008-01-01,26659000
2008-02-01,26683200
2008-03-01,26710700
2008-04-01,26744900
2008-05-01,26775500
2008-06-01,26816100
2008-07-01,26849800
2008-08-01,26881700
2008-09-01,26918400
2008-10-01,26948500
2008-11-01,26976800
2008-12-01,27003200
2009-01-01,27030700
2009-02-01,27061000
2009-03-01,27090100
2009-04-01,27120600
2009-05-01,27152300
2009-06-01,27193600
2009-07-01,27226900
2009-08-01,27259500
2009-09-01,27297200
2009-10-01,27326600
2009-11-01,27353100
2009-12-01,27377100
2010-01-01,27403500
2010-02-01,27432000
2010-03-01,27460800
2010-04-01,27491000
2010-05-01,27522500
2010-06-01,27563600
2010-07-01,27597800
2010-08-01,27635900
2010-09-01,27664200
