"Date","COCANZ32"
2012-06-01,100
2012-07-01,98.3
2012-08-01,98.5
2012-09-01,100
2012-10-01,98.4
2012-11-01,97.8
2012-12-01,98.1
2013-01-01,99.2
2013-02-01,100.2
2013-03-01,101.4
2013-04-01,100.4
2013-05-01,98.8
2013-06-01,97.9
2013-07-01,96.4
2013-08-01,96.7
2013-09-01,97.3
2013-10-01,97.8
2013-11-01,98.3
2013-12-01,98.3
2014-01-01,98.5
2014-02-01,99.8
2014-03-01,101
2014-04-01,98.6
2014-05-01,98.5
2014-06-01,98.9
2014-07-01,99.5
2014-08-01,99.9
2014-09-01,98.7
2014-10-01,100.7
2014-11-01,97.6
2014-12-01,95.8
2015-01-01,93.2
2015-02-01,91.7
2015-03-01,91.5
2015-04-01,90.6
2015-05-01,90.8
2015-06-01,90.4
2015-07-01,90.4
2015-08-01,87.9
2015-09-01,84.4
2015-10-01,82.6
2015-11-01,83.1
2015-12-01,82
2016-01-01,77.7
2016-02-01,76.5
2016-03-01,75.9
2016-04-01,77.7
2016-05-01,79.9
2016-06-01,81.9
2016-07-01,82.9
2016-08-01,81
2016-09-01,82.8
2016-10-01,82.7
2016-11-01,82.7
2016-12-01,84.2
2017-01-01,86.3
2017-02-01,87.8
2017-03-01,87.7
2017-04-01,88.1
2017-05-01,88
2017-06-01,86.8
2017-07-01,86.9
2017-08-01,87.7
2017-09-01,88.9
2017-10-01,90.2
2017-11-01,92.5
2017-12-01,91.6
2018-01-01,93
2018-02-01,94.5
2018-03-01,95
2018-04-01,96.6
2018-05-01,99.3
2018-06-01,100.9
2018-07-01,100
2018-08-01,98.7
2018-09-01,97.9
2018-10-01,97.9
2018-11-01,94.8
2018-12-01,90.7
2019-01-01,90.1
2019-02-01,92.3
2019-03-01,93
2019-04-01,92.7
2019-05-01,93.9
2019-06-01,91.8
2019-07-01,91.5
2019-08-01,89.8
2019-09-01,90.1
2019-10-01,89.7
2019-11-01,89.9
2019-12-01,89.5
2020-01-01,88.8
2020-02-01,87.5
2020-03-01,88.2
2020-04-01,81.2
2020-05-01,79.7
2020-06-01,82
2020-07-01,84.8
2020-08-01,96.3
2020-09-01,100.5
2020-10-01,100
2020-11-01,92.9
2020-12-01,95.2
2021-01-01,107
2021-02-01,110
2021-03-01,118.3
2021-04-01,123.4
2021-05-01,136.5
2021-06-01,141.6
2021-07-01,129.2
2021-08-01,117.4
2021-09-01,111
2021-10-01,120.7
2021-11-01,123.8
2021-12-01,127.7
2022-01-01,142.1
2022-02-01,146.7
2022-03-01,156.2
2022-04-01,153.1
2022-05-01,162.9
2022-06-01,157.8
2022-07-01,157.1
2022-08-01,151.9
2022-09-01,149.8
2022-10-01,147.7
2022-11-01,146.9
2022-12-01,135.7
2023-01-01,134.4
2023-02-01,130.4
2023-03-01,130.7
2023-04-01,126.2
2023-05-01,123.7
2023-06-01,124.4
2023-07-01,126.9
2023-08-01,125.6
2023-09-01,125.6
2023-10-01,124.6
2023-11-01,122.8
