"Date","LFEM25FECAM647S"
1976-01-01,2070200
1976-02-01,2073800
1976-03-01,2085500
1976-04-01,2092000
1976-05-01,2095300
1976-06-01,2113800
1976-07-01,2123800
1976-08-01,2126600
1976-09-01,2124600
1976-10-01,2147200
1976-11-01,2163700
1976-12-01,2167900
1977-01-01,2162400
1977-02-01,2184400
1977-03-01,2186800
1977-04-01,2193600
1977-05-01,2208000
1977-06-01,2214100
1977-07-01,2200700
1977-08-01,2205700
1977-09-01,2210200
1977-10-01,2213100
1977-11-01,2216500
1977-12-01,2240800
1978-01-01,2251400
1978-02-01,2264500
1978-03-01,2287800
1978-04-01,2307100
1978-05-01,2322800
1978-06-01,2329700
1978-07-01,2352000
1978-08-01,2363200
1978-09-01,2379400
1978-10-01,2395700
1978-11-01,2404000
1978-12-01,2421400
1979-01-01,2430300
1979-02-01,2435300
1979-03-01,2434300
1979-04-01,2445000
1979-05-01,2452100
1979-06-01,2460300
1979-07-01,2487900
1979-08-01,2516700
1979-09-01,2498900
1979-10-01,2524600
1979-11-01,2550100
1979-12-01,2557700
1980-01-01,2577500
1980-02-01,2587200
1980-03-01,2601300
1980-04-01,2627000
1980-05-01,2613100
1980-06-01,2624500
1980-07-01,2640300
1980-08-01,2662000
1980-09-01,2674300
1980-10-01,2703000
1980-11-01,2702100
1980-12-01,2710200
1981-01-01,2729500
1981-02-01,2768200
1981-03-01,2772500
1981-04-01,2787000
1981-05-01,2806000
1981-06-01,2824600
1981-07-01,2819100
1981-08-01,2836900
1981-09-01,2847900
1981-10-01,2864300
1981-11-01,2867500
1981-12-01,2858700
1982-01-01,2874800
1982-02-01,2872500
1982-03-01,2872300
1982-04-01,2856900
1982-05-01,2858600
1982-06-01,2861500
1982-07-01,2866400
1982-08-01,2864000
1982-09-01,2854500
1982-10-01,2858000
1982-11-01,2858600
1982-12-01,2871000
1983-01-01,2876800
1983-02-01,2890700
1983-03-01,2914200
1983-04-01,2952100
1983-05-01,2972500
1983-06-01,2992600
1983-07-01,3016100
1983-08-01,3019500
1983-09-01,3034600
1983-10-01,3036000
1983-11-01,3048900
1983-12-01,3056700
1984-01-01,3050100
1984-02-01,3065500
1984-03-01,3070000
1984-04-01,3072900
1984-05-01,3097700
1984-06-01,3113500
1984-07-01,3128800
1984-08-01,3143600
1984-09-01,3158700
1984-10-01,3162300
1984-11-01,3182900
1984-12-01,3196500
1985-01-01,3223900
1985-02-01,3232200
1985-03-01,3245800
1985-04-01,3259800
1985-05-01,3276800
1985-06-01,3283400
1985-07-01,3303000
1985-08-01,3320400
1985-09-01,3339800
1985-10-01,3352100
1985-11-01,3360700
1985-12-01,3393700
1986-01-01,3422800
1986-02-01,3438900
1986-03-01,3453300
1986-04-01,3461600
1986-05-01,3459400
1986-06-01,3452700
1986-07-01,3472000
1986-08-01,3494300
1986-09-01,3510200
1986-10-01,3531800
1986-11-01,3537400
1986-12-01,3541400
1987-01-01,3552400
1987-02-01,3561600
1987-03-01,3578300
1987-04-01,3595800
1987-05-01,3620500
1987-06-01,3645500
1987-07-01,3656900
1987-08-01,3665900
1987-09-01,3682800
1987-10-01,3707200
1987-11-01,3731600
1987-12-01,3754800
1988-01-01,3761200
1988-02-01,3795900
1988-03-01,3809900
1988-04-01,3828900
1988-05-01,3836400
1988-06-01,3871700
1988-07-01,3869100
1988-08-01,3879900
1988-09-01,3878500
1988-10-01,3919300
1988-11-01,3924800
1988-12-01,3953200
1989-01-01,3965700
1989-02-01,3976800
1989-03-01,3997500
1989-04-01,3999800
1989-05-01,4013800
1989-06-01,4014400
1989-07-01,4034200
1989-08-01,4061700
1989-09-01,4082600
1989-10-01,4101600
1989-11-01,4117400
1989-12-01,4135300
1990-01-01,4145000
1990-02-01,4163200
1990-03-01,4174600
1990-04-01,4188200
1990-05-01,4191500
1990-06-01,4206100
1990-07-01,4213100
1990-08-01,4208900
1990-09-01,4216100
1990-10-01,4214600
1990-11-01,4214800
1990-12-01,4203500
1991-01-01,4209400
1991-02-01,4197600
1991-03-01,4217400
1991-04-01,4237300
1991-05-01,4239700
1991-06-01,4248300
1991-07-01,4244500
1991-08-01,4256900
1991-09-01,4247300
1991-10-01,4253400
1991-11-01,4249200
1991-12-01,4250000
1992-01-01,4255200
1992-02-01,4276800
1992-03-01,4258600
1992-04-01,4267900
1992-05-01,4268800
1992-06-01,4270900
1992-07-01,4273400
1992-08-01,4266500
1992-09-01,4257300
1992-10-01,4259700
1992-11-01,4268300
1992-12-01,4279800
1993-01-01,4286400
1993-02-01,4287400
1993-03-01,4290600
1993-04-01,4280600
1993-05-01,4315700
