"Date","LFEM55MACAM647N"
1976-01-01,649300
1976-02-01,648000
1976-03-01,657800
1976-04-01,669900
1976-05-01,671300
1976-06-01,687200
1976-07-01,685300
1976-08-01,686300
1976-09-01,691200
1976-10-01,689200
1976-11-01,682600
1976-12-01,673000
1977-01-01,658800
1977-02-01,657600
1977-03-01,662700
1977-04-01,659300
1977-05-01,679500
1977-06-01,680900
1977-07-01,682000
1977-08-01,683300
1977-09-01,683100
1977-10-01,686100
1977-11-01,680300
1977-12-01,670000
1978-01-01,656800
1978-02-01,662700
1978-03-01,667600
1978-04-01,666600
1978-05-01,689500
1978-06-01,691700
1978-07-01,690600
1978-08-01,698500
1978-09-01,703300
1978-10-01,702200
1978-11-01,692800
1978-12-01,683600
1979-01-01,682800
1979-02-01,682800
1979-03-01,683300
1979-04-01,694200
1979-05-01,710100
1979-06-01,714100
1979-07-01,711400
1979-08-01,716900
1979-09-01,709600
1979-10-01,709300
1979-11-01,704200
1979-12-01,691600
1980-01-01,693400
1980-02-01,697300
1980-03-01,698100
1980-04-01,695700
1980-05-01,711600
1980-06-01,719100
1980-07-01,723600
1980-08-01,728500
1980-09-01,727200
1980-10-01,725200
1980-11-01,718200
1980-12-01,710200
1981-01-01,698200
1981-02-01,706600
1981-03-01,705600
1981-04-01,703400
1981-05-01,718400
1981-06-01,721200
1981-07-01,725700
1981-08-01,733900
1981-09-01,740300
1981-10-01,742500
1981-11-01,733300
1981-12-01,716100
1982-01-01,701000
1982-02-01,697400
1982-03-01,694000
1982-04-01,697600
1982-05-01,707200
1982-06-01,715100
1982-07-01,710300
1982-08-01,706600
1982-09-01,706100
1982-10-01,698900
1982-11-01,688600
1982-12-01,689700
1983-01-01,674900
1983-02-01,680200
1983-03-01,677500
1983-04-01,689300
1983-05-01,707400
1983-06-01,706800
1983-07-01,707200
1983-08-01,711600
1983-09-01,720700
1983-10-01,716000
1983-11-01,699800
1983-12-01,692500
1984-01-01,688400
1984-02-01,700700
1984-03-01,703000
1984-04-01,703000
1984-05-01,717300
1984-06-01,731000
1984-07-01,714300
1984-08-01,707900
1984-09-01,706900
1984-10-01,710400
1984-11-01,694800
1984-12-01,679800
1985-01-01,682000
1985-02-01,681100
1985-03-01,683900
1985-04-01,682200
1985-05-01,696500
1985-06-01,708000
1985-07-01,713400
1985-08-01,705800
1985-09-01,711800
1985-10-01,712400
1985-11-01,712800
1985-12-01,702700
1986-01-01,698000
1986-02-01,696800
1986-03-01,699100
1986-04-01,704500
1986-05-01,712400
1986-06-01,717300
1986-07-01,714500
1986-08-01,698400
1986-09-01,703200
1986-10-01,704500
1986-11-01,697400
1986-12-01,679800
1987-01-01,676700
1987-02-01,689300
1987-03-01,684600
1987-04-01,684300
1987-05-01,695500
1987-06-01,692400
1987-07-01,696400
1987-08-01,698000
1987-09-01,711300
1987-10-01,703800
1987-11-01,703000
1987-12-01,699200
1988-01-01,681100
1988-02-01,679000
1988-03-01,685900
1988-04-01,691300
1988-05-01,704000
1988-06-01,717100
1988-07-01,712900
1988-08-01,719600
1988-09-01,719000
1988-10-01,720800
1988-11-01,704900
1988-12-01,699900
1989-01-01,702200
1989-02-01,702700
1989-03-01,702000
1989-04-01,701400
1989-05-01,707500
1989-06-01,712900
1989-07-01,695000
1989-08-01,702800
1989-09-01,717300
1989-10-01,714600
1989-11-01,707900
1989-12-01,702400
1990-01-01,697100
1990-02-01,699400
1990-03-01,694000
1990-04-01,696500
1990-05-01,694900
1990-06-01,706900
1990-07-01,704700
1990-08-01,705000
1990-09-01,720500
