"Date","CANWSCNDW01GYSAM"
1960-01-01,-21.0174029451138
1960-02-01,-39.3716577540107
1960-03-01,-38.9009399855387
1960-04-01,-33.1149927219796
1960-05-01,-30.989010989011
1960-06-01,-19.4992412746586
1960-07-01,-14.3359100491918
1960-08-01,-25.7142857142857
1960-09-01,-17.2883787661406
1960-10-01,-17.4810736407433
1960-11-01,-26.3843648208469
1960-12-01,-8.35117773019272
1961-01-01,5.84745762711864
1961-02-01,60.0882028665932
1961-03-01,66.3905325443787
1961-04-01,40.69640914037
1961-05-01,28.6624203821656
1961-06-01,22.3374175306315
1961-07-01,-2.95324036095161
1961-08-01,27.0192307692308
1961-09-01,13.009540329575
1961-10-01,-2.00166805671392
1961-11-01,6.8141592920354
1961-12-01,-15.3426791277259
1962-01-01,0.160128102481991
1962-02-01,-16.7355371900827
1962-03-01,-9.3172119487909
1962-04-01,7.65661252900233
1962-05-01,4.7029702970297
1962-06-01,5.7010785824345
1962-07-01,11.5807269653424
1962-08-01,-0.757002271006806
1962-09-01,-1.68841135840369
1962-10-01,15.2340425531915
1962-11-01,1.65700082850042
1962-12-01,11.0395584176633
1963-01-01,-1.67865707434053
1963-02-01,10.4218362282878
1963-03-01,9.1764705882353
1963-04-01,-3.30459770114943
1963-05-01,19.9369582348306
1963-06-01,1.38483965014577
1963-07-01,17.7272727272727
1963-08-01,14.7215865751335
1963-09-01,20.8430913348946
1963-10-01,12.1861152141802
1963-11-01,18.5004074979625
1963-12-01,52.195526097763
1964-01-01,41.7886178861789
1964-02-01,35.0561797752809
1964-03-01,7.61494252873564
1964-04-01,10.9955423476969
1964-05-01,-3.61366622864651
1964-06-01,6.25449317038103
1964-07-01,8.55855855855856
1964-08-01,8.71010638297872
1964-09-01,4.97416020671834
1964-10-01,20.0131665569454
1964-11-01,39.8899587345254
1964-12-01,-9.74414806750137
1965-01-01,-16.5137614678899
1965-02-01,-9.76150859678314
1965-03-01,11.7489986648865
1965-04-01,13.4538152610442
1965-05-01,15.2010906612134
1965-06-01,17.8619756427605
1965-07-01,-2.6674570243035
1965-08-01,23.302752293578
1965-09-01,-3.32307692307691
1965-10-01,-14.2622051563357
1965-11-01,-19.1740412979351
1965-12-01,-2.17129071170084
1966-01-01,15.2472527472528
1966-02-01,-3.07314074984634
1966-03-01,-8.00477897252092
1966-04-01,-27.8466076696165
1966-05-01,-23.8461538461538
1966-06-01,-30.654420206659
1966-07-01,-24.2387332521316
1966-08-01,-40.625
1966-09-01,-11.2667091024825
1966-10-01,-3.77479206653871
1966-11-01,-18.4914841849148
1966-12-01,-19.8520345252774
1967-01-01,-28.3075089392134
1967-02-01,-29.0424857324033
1967-03-01,-20.1948051948052
1967-04-01,23.3851185609158
1967-05-01,52.1367521367522
1967-06-01,57.6986754966887
1967-07-01,47.1864951768489
1967-08-01,50.8771929824561
1967-09-01,29.9856527977044
1967-10-01,14.3617021276596
1967-11-01,11.8656716417911
1967-12-01,6.61538461538462
1968-01-01,43.142144638404
1968-02-01,70.9562109025916
1968-03-01,55.5736371033361
1968-04-01,30.284956925116
1968-05-01,6.12870275791625
1968-06-01,5.8267716535433
1968-07-01,4.75150191152376
1968-08-01,5.86932447397564
1968-09-01,-11.8653421633554
1968-10-01,18.953488372093
1968-11-01,48.7658438959306
1968-12-01,56.4213564213564
1969-01-01,45.6445993031359
1969-02-01,59.0695243073706
1969-03-01,29.8640167364017
1969-04-01,25.5340793489319
1969-05-01,6.49663137632338
1969-06-01,9.97023809523811
1969-07-01,3.4932221063608
1969-08-01,13.336820083682
1969-09-01,18.8478396994364
1969-10-01,-10.9970674486804
1969-11-01,-28.2062780269058
1969-12-01,-18.0811808118081
1970-01-01,-31.578947368421
1970-02-01,-46.9602366086099
1970-03-01,-31.6552557390254
1970-04-01,-34.805510534846
1970-05-01,-43.1089019430637
1970-06-01,-33.2431213351376
1970-07-01,-6.44836272040303
1970-08-01,-14.2593447161975
1970-09-01,1.47523709167545
1970-10-01,41.7902251510159
1970-11-01,50.2810743285446
1970-12-01,38.6824324324324
1971-01-01,16.8997668997669
1971-02-01,31.9702602230483
1971-03-01,19.0925162050678
1971-04-01,58.1727781230578
1971-05-01,71.4853057982526
1971-06-01,55.8108108108108
1971-07-01,26.7635971997846
1971-08-01,29.7093649085038
1971-09-01,25.7528556593977
1971-10-01,-7.66847405112316
1971-11-01,4.57190357439735
1971-12-01,1.78643930166464
1972-01-01,9.17248255234298
1972-02-01,36.0093896713615
1972-03-01,29.4408708560119
1972-04-01,-8.36935166994106
1972-05-01,27.1421954608615
1972-06-01,14.4839549002602
1972-07-01,4.41801189464741
1972-08-01,3.77593360995851
1972-09-01,7.67960363336086
1972-10-01,4.48825503355705
1972-11-01,-7.07472178060413
1972-12-01,-11.8069405664141
1973-01-01,20.958904109589
1973-02-01,-12.2195374525371
1973-03-01,0.191131498470954
1973-04-01,24.442538593482
1973-05-01,-3.13296903460837
1973-06-01,2.68939393939395
1973-07-01,15.5004068348251
1973-08-01,5.51779288284686
1973-09-01,0.230061349693243
1973-10-01,8.75150541951023
1973-11-01,10.4790419161677
1973-12-01,19.1768430574401
1974-01-01,8.15402038505096
1974-02-01,7.62878489972473
1974-03-01,4.80732544830217
1974-04-01,-15.4031702274294
1974-05-01,-4.21210981572021
1974-06-01,-10.2545186278126
1974-07-01,-26.2064107079958
1974-08-01,-21.5611974232664
1974-09-01,-25.2104055087988
1974-10-01,-34.5145810262089
1974-11-01,-30.8943089430894
1974-12-01,-32.5996204933586
1975-01-01,-38.6038394415358
