"Date","LRUN55TTCAM156S"
1976-01-01,3.59992022337455
1976-02-01,2.68199233716475
1976-03-01,0.677061961427985
1976-04-01,2.71582912082466
1976-05-01,3.35597283260088
1976-06-01,5.12492622467047
1976-07-01,5.58544458573804
1976-08-01,4.94020780239169
1976-09-01,6.15370072785708
1976-10-01,3.78266850068776
1976-11-01,4.89930286599535
1976-12-01,4.73134757207164
1977-01-01,4.71209213051823
1977-02-01,4.74563030954008
1977-03-01,3.38264299802761
1977-04-01,5.05639828860366
1977-05-01,4.92663492371976
1977-06-01,5.95261405913452
1977-07-01,6.2415196743555
1977-08-01,5.56805949701536
1977-09-01,4.91170510469941
1977-10-01,3.5857352222765
1977-11-01,5.99733028222731
1977-12-01,5.92960979342005
1978-01-01,5.72438837920489
1978-02-01,5.68214594750505
1978-03-01,5.92187350033592
1978-04-01,6.30116124119551
1978-05-01,5.52264475444296
1978-06-01,5.77620775253007
1978-07-01,6.2635396062918
1978-08-01,5.76232760249386
1978-09-01,5.9828262086989
1978-10-01,4.43007890483886
1978-11-01,5.5721207603429
1978-12-01,5.38490353998876
1979-01-01,5.32413793103448
1979-02-01,4.51511218245874
1979-03-01,4.60744563214154
1979-04-01,4.98311581637309
1979-05-01,4.57200219018069
1979-06-01,4.86349665521606
1979-07-01,5.45634030332944
1979-08-01,5.63087490961678
1979-09-01,6.38375045339137
1979-10-01,5.04209455083726
1979-11-01,4.58698661744347
1979-12-01,4.89871086556169
1980-01-01,4.05405405405405
1980-02-01,4.49314059478869
1980-03-01,4.18587497695003
1980-04-01,4.23108971391538
1980-05-01,4.57137684439214
1980-06-01,4.57256461232604
1980-07-01,5.17103509551311
1980-08-01,5.64760377694637
1980-09-01,5.86380832282472
1980-10-01,5.46173194394538
1980-11-01,5.2645788336933
1980-12-01,5.34186109359517
1981-01-01,3.58203414996288
1981-02-01,3.41660543717854
1981-03-01,2.60661324491112
1981-04-01,3.23841429369068
1981-05-01,3.7485322012465
1981-06-01,4.30596416154052
1981-07-01,4.92649632481624
1981-08-01,5.44282029234738
1981-09-01,6.19806094182826
1981-10-01,4.94587696911026
1981-11-01,5.27644754026992
1981-12-01,5.78317463090766
1982-01-01,5.30094849747363
1982-02-01,5.21111704970604
1982-03-01,5.92769803296119
1982-04-01,5.93493028244548
1982-05-01,6.47984441301273
1982-06-01,5.73150980745006
1982-07-01,7.33698089514755
1982-08-01,6.00036310820625
1982-09-01,5.54046713742531
1982-10-01,5.2282233133297
1982-11-01,7.36573789223873
1982-12-01,8.04657629475148
1983-01-01,10.8271059782609
1983-02-01,10.6948228882834
1983-03-01,11.8175709726188
1983-04-01,10.0717580727832
1983-05-01,9.4999134798408
1983-06-01,7.13201820940819
1983-07-01,8.11051693404634
1983-08-01,7.13207212008171
1983-09-01,6.58751099384345
1983-10-01,6.59840728100114
1983-11-01,6.88693226397001
1983-12-01,8.45600821636426
1984-01-01,8.41177477323293
1984-02-01,8.43806104129264
1984-03-01,8.73942470389171
1984-04-01,8.29501084598698
1984-05-01,8.60595597755719
1984-06-01,6.39860139860139
1984-07-01,7.59793182017352
1984-08-01,7.30049435028248
1984-09-01,7.65998424231813
1984-10-01,8.6239805656776
1984-11-01,8.22394158045727
1984-12-01,8.0006942034016
1985-01-01,9.34627170582227
1985-02-01,9.20648464163822
1985-03-01,9.97107367704611
1985-04-01,9.24066924066924
1985-05-01,8.73861488228218
1985-06-01,6.93284620737648
1985-07-01,7.9235207992421
1985-08-01,8.11392187231113
1985-09-01,8.33619505494506
1985-10-01,9.00506481243025
1985-11-01,7.35794487921062
1985-12-01,7.82601322706461
1986-01-01,7.49314128943758
1986-02-01,8.05524577507077
1986-03-01,7.79757294087271
1986-04-01,6.93661666522154
1986-05-01,7.50149177393232
1986-06-01,7.05516168078852
1986-07-01,6.8427890861845
1986-08-01,8.12407680945347
1986-09-01,7.6433676137354
1986-10-01,8.05492391114221
1986-11-01,6.48871718324699
1986-12-01,7.48435326842837
1987-01-01,7.89450854515485
1987-02-01,6.80166147455867
1987-03-01,7.36742910991176
1987-04-01,7.52743484224966
1987-05-01,6.9137501074899
1987-06-01,7.27720161715592
1987-07-01,7.5125497663147
1987-08-01,7.24262803931712
1987-09-01,7.29584435532042
1987-10-01,8.18778222714493
1987-11-01,6.43551578766239
1987-12-01,7.38215488215488
1988-01-01,6.05164768281019
1988-02-01,5.56088207094918
1988-03-01,5.07049654085295
1988-04-01,5.4105609988728
1988-05-01,6.02800546448088
1988-06-01,6.41289437585734
1988-07-01,6.37246549667746
1988-08-01,7.14524207011686
1988-09-01,7.38764279162845
1988-10-01,7.27530905446041
1988-11-01,6.50746268656716
1988-12-01,6.98342915116673
1989-01-01,4.97874924104433
1989-02-01,5.41914362022917
1989-03-01,5.24536153979539
1989-04-01,6.37221269296741
1989-05-01,5.42000697107006
1989-06-01,6.83906090506975
1989-07-01,5.67636014321893
1989-08-01,6.38609174627766
1989-09-01,7.9864921907978
1989-10-01,8.86424282855237
1989-11-01,6.5448618974095
1989-12-01,6.36216721952879
1990-01-01,5.64786913473956
1990-02-01,4.94323144104803
1990-03-01,4.34397163120567
1990-04-01,4.80777575284214
1990-05-01,5.2154984762734
1990-06-01,5.83440583440584
1990-07-01,5.30050440283833
1990-08-01,5.53430247385871
1990-09-01,5.78323454699407
1990-10-01,7.46492985971944
1990-11-01,7.18619157480988
1990-12-01,7.47234042553192
1991-01-01,8.70086494818875
1991-02-01,9.54452405322416
1991-03-01,11.0043005312421
1991-04-01,8.8267965478937
1991-05-01,8.29128240821298
