"Date","CANLOCOSPORIXOBM"
1960-01-01,3.69479535165733
1960-02-01,3.57226316153159
1960-03-01,3.57100785167259
1960-04-01,3.50845157703241
1960-05-01,3.61229359814637
1960-06-01,3.52260868266447
1960-07-01,3.44554660520918
1960-08-01,3.67157211926583
1960-09-01,3.48927323196435
1960-10-01,3.4883666192884
1960-11-01,3.6224755558916
1960-12-01,3.79898606995435
1961-01-01,4.01420197133628
1961-02-01,4.14531211216519
1961-03-01,4.22349002060626
1961-04-01,4.41757487269502
1961-05-01,4.50579526000809
1961-06-01,4.53773592197598
1961-07-01,4.61919158393777
1961-08-01,4.6895586754784
1961-09-01,4.61396112619194
1961-10-01,4.6412989853435
1961-11-01,4.78196342898814
1961-12-01,4.8876884148906
1962-01-01,4.76201795011736
1962-02-01,4.78977424588858
1962-03-01,4.78419509095969
1962-04-01,4.65545609097556
1962-05-01,4.27091283750182
1962-06-01,3.99230378824038
1962-07-01,4.08728890090474
1962-08-01,4.18631890089253
1962-09-01,3.9879799431705
1962-10-01,4.04976908400795
1962-11-01,4.36687430227873
1962-12-01,4.38654082340307
1963-01-01,4.60203568253144
1963-02-01,4.45251433043719
1963-03-01,4.5855074360546
1963-04-01,4.80658145011186
1963-05-01,4.88461987967971
1963-06-01,4.70343682336401
1963-07-01,4.57713870366127
1963-08-01,4.60782405577016
1963-09-01,4.7466055346263
1963-10-01,4.78433456983292
1963-11-01,4.73635383744446
1963-12-01,4.90065995010027
1964-01-01,5.03128191487291
1964-02-01,4.98888033741334
1964-03-01,5.1829651895021
1964-04-01,5.37314463314063
1964-05-01,5.55920945001911
1964-06-01,5.54867879509083
1964-07-01,5.6751163936668
1964-08-01,5.64080459085412
1964-09-01,5.88314913307778
1964-10-01,5.90455914011739
1964-11-01,5.92854950631162
1964-12-01,5.95247013306924
1965-01-01,6.28631281612668
1965-02-01,6.25876573866529
1965-03-01,6.20360184430589
1965-04-01,6.35507590062525
1965-05-01,6.34008192175386
1965-06-01,5.90762767532828
1965-07-01,5.84709384434983
1965-08-01,5.99005968940263
1965-09-01,6.09090291474232
1965-10-01,6.19885956261634
1965-11-01,6.02374383728581
1965-12-01,6.14502071755255
1966-01-01,6.40033679498587
1966-02-01,6.2431441048644
1966-03-01,6.15820147107205
1966-04-01,6.21531806965656
1966-05-01,6.00972621052697
1966-06-01,5.97625128095363
1966-07-01,5.87743049927567
1966-08-01,5.44232615425887
1966-09-01,5.30793825990923
1966-10-01,5.41101314722047
1966-11-01,5.37523681623897
1966-12-01,5.50599825988482
1967-01-01,5.88210304152861
1967-02-01,5.9378248513809
1967-03-01,6.13672172459583
1967-04-01,6.26364749922807
1967-05-01,6.02953221052453
1967-06-01,6.18526037247717
1967-07-01,6.38429672456532
1967-08-01,6.30890839358869
1967-09-01,6.43346302737616
1967-10-01,6.05791616122526
1967-11-01,6.21162187951617
1967-12-01,6.27097014007224
1968-01-01,6.09257666122098
1968-02-01,5.82554435843699
1968-03-01,5.68229955563774
1968-04-01,6.18916578092739
1968-05-01,6.13065439361066
1968-06-01,6.45361772455677
1968-07-01,6.41700452033593
1968-08-01,6.58305411890702
1968-09-01,6.89799741464285
1968-10-01,7.00163021744698
1968-11-01,7.2637807596682
1968-12-01,7.41246523852311
1969-01-01,7.60731722441459
1969-02-01,7.24606694276897
1969-03-01,7.47718343569823
1969-04-01,7.68849392862994
1969-05-01,7.88780923846453
1969-06-01,7.03357087941488
1969-07-01,6.63047693580258
1969-08-01,6.96369196393053
1969-09-01,6.91668758365463
1969-10-01,7.01362540054409
1969-11-01,7.19194913995874
1969-12-01,7.11181852729256
1970-01-01,6.83606879493217
1970-02-01,7.01857690054348
1970-03-01,7.01620575969871
1970-04-01,6.40012757667604
1970-05-01,5.77588987956987
1970-06-01,5.65433404155668
1970-07-01,5.91236995701784
1970-08-01,6.06726124573115
1970-09-01,6.34063983724675
1970-10-01,6.16266479501516
1970-11-01,6.43130110484121
1970-12-01,6.60809057665041
1971-01-01,6.8005016822605
1971-02-01,6.796108097754
1971-03-01,6.97903463998498
1971-04-01,7.09250070335128
1971-05-01,6.78599587944539
1971-06-01,6.88223630196874
1971-07-01,6.8588038512674
1971-08-01,6.80887041465384
1971-09-01,6.70872458368026
1971-10-01,6.14690368234105
1971-11-01,6.17570606966144
1971-12-01,6.90797015407824
1972-01-01,7.52432729484735
1972-02-01,7.77518004833757
1972-03-01,7.58569799906514
1972-04-01,7.66520095680182
1972-05-01,7.87644171029692
1972-06-01,7.70125624552977
1972-07-01,7.87957998494442
1972-08-01,8.29404145672432
1972-09-01,8.14166078772902
1972-10-01,7.92756071733287
1972-11-01,8.27625790038849
1972-12-01,8.5540998158472
1973-01-01,8.69525243554812
1973-02-01,8.71763879470029
1973-03-01,8.64169254823078
1973-04-01,8.35610955530822
1973-05-01,8.04367687929039
1973-06-01,8.01306126661811
1973-07-01,8.5528445059882
1973-08-01,8.34083661869039
1973-09-01,8.72007967498168
1973-10-01,9.2004449143591
1973-11-01,8.24717655532165
1973-12-01,8.28351080179605
1974-01-01,8.34390515390128
1974-02-01,8.66010375949611
1974-03-01,8.47250467501219
1974-04-01,7.67078011173071
1974-05-01,7.19529663291607
1974-06-01,7.03831316110443
1974-07-01,7.37117949204933
1974-08-01,6.41519129498404
1974-09-01,5.90825533025778
1974-10-01,6.24663107669496
1974-11-01,5.93064168940996
1974-12-01,5.82617201336649
1975-01-01,6.83167521042567
1975-02-01,7.01808872448721
1975-03-01,6.9014146470368
1975-04-01,7.03343140054165
1975-05-01,7.18804373150852
