"Date","LFAC25MACAM647N"
1976-01-01,4049400
1976-02-01,4066500
1976-03-01,4075300
1976-04-01,4106200
1976-05-01,4145400
1976-06-01,4174600
1976-07-01,4184700
1976-08-01,4189900
1976-09-01,4184500
1976-10-01,4182300
1976-11-01,4167900
1976-12-01,4149400
1977-01-01,4120900
1977-02-01,4145900
1977-03-01,4168200
1977-04-01,4187600
1977-05-01,4234900
1977-06-01,4247500
1977-07-01,4251800
1977-08-01,4266600
1977-09-01,4272200
1977-10-01,4267800
1977-11-01,4257400
1977-12-01,4243900
1978-01-01,4220500
1978-02-01,4240300
1978-03-01,4272900
1978-04-01,4288900
1978-05-01,4332900
1978-06-01,4370000
1978-07-01,4359500
1978-08-01,4381200
1978-09-01,4377300
1978-10-01,4376100
1978-11-01,4364000
1978-12-01,4337100
1979-01-01,4330600
1979-02-01,4324700
1979-03-01,4365800
1979-04-01,4373900
1979-05-01,4426900
1979-06-01,4452400
1979-07-01,4464800
1979-08-01,4473700
1979-09-01,4478400
1979-10-01,4473500
1979-11-01,4462500
1979-12-01,4427200
1980-01-01,4419100
1980-02-01,4436100
1980-03-01,4447000
1980-04-01,4468600
1980-05-01,4508300
1980-06-01,4548100
1980-07-01,4544300
1980-08-01,4564700
1980-09-01,4573100
1980-10-01,4560400
1980-11-01,4573200
1980-12-01,4544700
1981-01-01,4532100
1981-02-01,4549000
1981-03-01,4581400
1981-04-01,4600500
1981-05-01,4637100
1981-06-01,4681100
1981-07-01,4675600
1981-08-01,4681700
1981-09-01,4681500
1981-10-01,4671800
1981-11-01,4643700
1981-12-01,4620000
1982-01-01,4589900
1982-02-01,4599700
1982-03-01,4649300
1982-04-01,4653000
1982-05-01,4699900
1982-06-01,4736100
1982-07-01,4741300
1982-08-01,4736700
1982-09-01,4727600
1982-10-01,4735800
1982-11-01,4710100
1982-12-01,4686900
1983-01-01,4665300
1983-02-01,4685800
1983-03-01,4739800
1983-04-01,4742700
1983-05-01,4805400
1983-06-01,4845300
1983-07-01,4844700
1983-08-01,4853200
1983-09-01,4840100
1983-10-01,4829000
1983-11-01,4807000
1983-12-01,4778600
1984-01-01,4743800
1984-02-01,4767800
1984-03-01,4805700
1984-04-01,4824000
1984-05-01,4883600
1984-06-01,4918800
1984-07-01,4928700
1984-08-01,4950500
1984-09-01,4953800
1984-10-01,4939800
1984-11-01,4921600
1984-12-01,4888500
1985-01-01,4890600
1985-02-01,4901800
1985-03-01,4942400
1985-04-01,4961700
1985-05-01,5005800
1985-06-01,5031700
1985-07-01,5043700
1985-08-01,5047400
1985-09-01,5031900
1985-10-01,5031200
1985-11-01,5025000
1985-12-01,4997300
1986-01-01,5005200
1986-02-01,5006000
1986-03-01,5045800
1986-04-01,5074000
1986-05-01,5106900
1986-06-01,5150600
1986-07-01,5161000
1986-08-01,5178800
1986-09-01,5171700
1986-10-01,5159000
1986-11-01,5153900
1986-12-01,5133500
1987-01-01,5107400
1987-02-01,5121600
1987-03-01,5172400
1987-04-01,5195300
1987-05-01,5245700
1987-06-01,5293700
1987-07-01,5286500
1987-08-01,5309300
1987-09-01,5305200
1987-10-01,5303100
1987-11-01,5278500
1987-12-01,5264300
1988-01-01,5243700
1988-02-01,5261100
1988-03-01,5291600
1988-04-01,5305100
1988-05-01,5375500
1988-06-01,5398800
1988-07-01,5403800
1988-08-01,5422600
1988-09-01,5410000
1988-10-01,5411700
1988-11-01,5381200
1988-12-01,5373600
1989-01-01,5359800
1989-02-01,5379000
1989-03-01,5421500
1989-04-01,5435100
1989-05-01,5514700
1989-06-01,5556600
1989-07-01,5564100
1989-08-01,5591000
1989-09-01,5567800
1989-10-01,5551500
1989-11-01,5532300
1989-12-01,5486900
1990-01-01,5468200
1990-02-01,5473600
1990-03-01,5493500
1990-04-01,5540800
1990-05-01,5603800
1990-06-01,5650900
1990-07-01,5684300
1990-08-01,5698300
1990-09-01,5677600
1990-10-01,5672800
1990-11-01,5630300
1990-12-01,5591600
1991-01-01,5569000
1991-02-01,5592900
1991-03-01,5613000
1991-04-01,5624200
1991-05-01,5681500
1991-06-01,5722200
1991-07-01,5720700
1991-08-01,5731500
1991-09-01,5707500
1991-10-01,5698200
1991-11-01,5668000
1991-12-01,5615600
1992-01-01,5591900
1992-02-01,5602000
1992-03-01,5654400
1992-04-01,5641600
1992-05-01,5707100
1992-06-01,5767500
1992-07-01,5776400
1992-08-01,5774800
1992-09-01,5760500
1992-10-01,5753300
1992-11-01,5762000
1992-12-01,5706200
1993-01-01,5665000
1993-02-01,5677100
1993-03-01,5717900
1993-04-01,5727000
1993-05-01,5786200
1993-06-01,5850800
1993-07-01,5858200
1993-08-01,5853100
1993-09-01,5843200
1993-10-01,5817500
1993-11-01,5798000
1993-12-01,5770100
1994-01-01,5743100
1994-02-01,5739100
1994-03-01,5748000
1994-04-01,5795700
1994-05-01,5856700
1994-06-01,5883000
1994-07-01,5917500
1994-08-01,5930800
1994-09-01,5912100
1994-10-01,5891500
1994-11-01,5884800
1994-12-01,5843000
1995-01-01,5813600
1995-02-01,5799000
1995-03-01,5850600
1995-04-01,5851400
1995-05-01,5931600
1995-06-01,5959600
1995-07-01,5984100
1995-08-01,5991900
1995-09-01,5971500
1995-10-01,5956600
1995-11-01,5918200
1995-12-01,5908200
1996-01-01,5918300
1996-02-01,5891000
1996-03-01,5911900
1996-04-01,5932700
1996-05-01,5988800
1996-06-01,6028300
1996-07-01,6058500
1996-08-01,6060900
1996-09-01,6035200
1996-10-01,6030200
1996-11-01,5996800
1996-12-01,5982700
1997-01-01,5946600
1997-02-01,5966400
1997-03-01,5979700
1997-04-01,5999300
1997-05-01,6076600
1997-06-01,6086200
1997-07-01,6110700
1997-08-01,6141900
1997-09-01,6147300
1997-10-01,6129900
1997-11-01,6105800
1997-12-01,6068900
1998-01-01,6036400
1998-02-01,6051600
1998-03-01,6063300
1998-04-01,6096700
1998-05-01,6148800
1998-06-01,6172900
1998-07-01,6184200
1998-08-01,6176500
1998-09-01,6170200
1998-10-01,6173700
1998-11-01,6141000
1998-12-01,6113300
1999-01-01,6070900
1999-02-01,6094600
1999-03-01,6101800
1999-04-01,6154500
1999-05-01,6196600
1999-06-01,6197200
1999-07-01,6208300
1999-08-01,6219800
1999-09-01,6197600
1999-10-01,6192700
1999-11-01,6175700
1999-12-01,6150900
2000-01-01,6117000
2000-02-01,6153100
2000-03-01,6161600
2000-04-01,6175200
2000-05-01,6242500
2000-06-01,6263800
2000-07-01,6274600
2000-08-01,6281100
2000-09-01,6255000
2000-10-01,6256100
2000-11-01,6249900
2000-12-01,6207600
2001-01-01,6204600
2001-02-01,6223900
2001-03-01,6219200
2001-04-01,6249200
2001-05-01,6310700
2001-06-01,6322100
2001-07-01,6298100
2001-08-01,6311600
2001-09-01,6289800
2001-10-01,6304400
2001-11-01,6289100
2001-12-01,6270400
2002-01-01,6243300
2002-02-01,6255300
2002-03-01,6279800
2002-04-01,6296200
2002-05-01,6373200
2002-06-01,6392600
2002-07-01,6400300
2002-08-01,6403300
2002-09-01,6387200
2002-10-01,6380600
2002-11-01,6349600
2002-12-01,6331100
2003-01-01,6295100
2003-02-01,6326600
2003-03-01,6321800
2003-04-01,6340900
2003-05-01,6416800
2003-06-01,6418100
2003-07-01,6428900
2003-08-01,6427900
2003-09-01,6401200
2003-10-01,6394700
2003-11-01,6384200
2003-12-01,6341100
2004-01-01,6322800
2004-02-01,6318800
2004-03-01,6350400
2004-04-01,6371400
2004-05-01,6411600
2004-06-01,6454700
2004-07-01,6434200
2004-08-01,6452900
2004-09-01,6415600
2004-10-01,6436100
2004-11-01,6403600
2004-12-01,6375500
2005-01-01,6336200
2005-02-01,6355300
2005-03-01,6378800
2005-04-01,6395100
2005-05-01,6446600
2005-06-01,6463600
2005-07-01,6446100
2005-08-01,6487400
2005-09-01,6451300
2005-10-01,6446300
2005-11-01,6417200
2005-12-01,6392100
2006-01-01,6370500
2006-02-01,6374300
2006-03-01,6377500
2006-04-01,6418700
2006-05-01,6481600
2006-06-01,6484000
2006-07-01,6480800
2006-08-01,6501200
2006-09-01,6498900
2006-10-01,6457600
2006-11-01,6444100
2006-12-01,6421600
2007-01-01,6407900
2007-02-01,6398700
2007-03-01,6396600
2007-04-01,6428200
2007-05-01,6476800
2007-06-01,6505100
2007-07-01,6492200
2007-08-01,6489800
2007-09-01,6494400
2007-10-01,6486900
2007-11-01,6500000
2007-12-01,6473700
2008-01-01,6465400
2008-02-01,6454900
2008-03-01,6499400
2008-04-01,6520200
2008-05-01,6547600
2008-06-01,6577400
2008-07-01,6544500
2008-08-01,6555800
2008-09-01,6553600
2008-10-01,6554400
2008-11-01,6549900
2008-12-01,6501600
2009-01-01,6473600
2009-02-01,6477600
2009-03-01,6487900
2009-04-01,6514600
2009-05-01,6544900
2009-06-01,6563300
2009-07-01,6554300
2009-08-01,6553300
2009-09-01,6533300
2009-10-01,6543000
2009-11-01,6543000
2009-12-01,6492800
2010-01-01,6446200
2010-02-01,6436200
2010-03-01,6453700
2010-04-01,6508300
2010-05-01,6563300
2010-06-01,6576400
2010-07-01,6571700
2010-08-01,6609300
2010-09-01,6576000
2010-10-01,6524100
2010-11-01,6530700
2010-12-01,6496400
2011-01-01,6479800
2011-02-01,6478600
2011-03-01,6510200
2011-04-01,6552900
2011-05-01,6584400
2011-06-01,6590000
2011-07-01,6563500
2011-08-01,6600200
2011-09-01,6570200
2011-10-01,6557900
2011-11-01,6538200
2011-12-01,6500300
2012-01-01,6481800
2012-02-01,6483400
2012-03-01,6500900
2012-04-01,6555700
2012-05-01,6618900
2012-06-01,6604900
2012-07-01,6601100
2012-08-01,6623500
2012-09-01,6616800
2012-10-01,6597300
2012-11-01,6591000
2012-12-01,6572100
2013-01-01,6509200
2013-02-01,6510800
2013-03-01,6507200
2013-04-01,6554200
2013-05-01,6603000
2013-06-01,6608100
2013-07-01,6598400
2013-08-01,6594100
2013-09-01,6590700
2013-10-01,6578900
2013-11-01,6583400
2013-12-01,6541300
2014-01-01,6530200
2014-02-01,6518400
2014-03-01,6505600
2014-04-01,6533600
2014-05-01,6570300
2014-06-01,6584800
2014-07-01,6582100
2014-08-01,6607600
2014-09-01,6597600
2014-10-01,6576200
2014-11-01,6564900
2014-12-01,6559500
2015-01-01,6505000
2015-02-01,6514100
2015-03-01,6509700
2015-04-01,6533100
2015-05-01,6584800
2015-06-01,6606900
2015-07-01,6596600
2015-08-01,6633300
2015-09-01,6624200
2015-10-01,6630300
2015-11-01,6601100
