"Date","CANLFFEMMDSMEI"
1956-01-01,1308.341
1956-02-01,1324.064
1956-03-01,1329.889
1956-04-01,1333.384
1956-05-01,1329.828
1956-06-01,1335.926
1956-07-01,1347.056
1956-08-01,1352.951
1956-09-01,1352.233
1956-10-01,1359.556
1956-11-01,1380.1
1956-12-01,1392.807
1957-01-01,1403.776
1957-02-01,1397.049
1957-03-01,1403.76
1957-04-01,1400.629
1957-05-01,1427.749
1957-06-01,1437.404
1957-07-01,1423.055
1957-08-01,1426.836
1957-09-01,1482.463
1957-10-01,1452.861
1957-11-01,1475.473
1957-12-01,1485.436
1958-01-01,1462.753
1958-02-01,1466.725
1958-03-01,1474.45
1958-04-01,1501.413
1958-05-01,1488.625
1958-06-01,1495.657
1958-07-01,1507.129
1958-08-01,1504.346
1958-09-01,1512.873
1958-10-01,1521.409
1958-11-01,1509.549
1958-12-01,1512.605
1959-01-01,1524.745
1959-02-01,1556.188
1959-03-01,1534.357
1959-04-01,1540.102
1959-05-01,1537.404
1959-06-01,1545.673
1959-07-01,1554.827
1959-08-01,1562.979
1959-09-01,1564.965
1959-10-01,1575.538
1959-11-01,1575.972
1959-12-01,1580
1960-01-01,1607.539
1960-02-01,1631.329
1960-03-01,1637.555
1960-04-01,1604.349
1960-05-01,1649.429
1960-06-01,1636.899
1960-07-01,1637.272
1960-08-01,1673.134
1960-09-01,1683.021
1960-10-01,1703.167
1960-11-01,1698.253
1960-12-01,1715.989
1961-01-01,1731.152
1961-02-01,1730.595
1961-03-01,1707.996
1961-04-01,1749.982
1961-05-01,1760.857
1961-06-01,1739.195
1961-07-01,1740.252
1961-08-01,1721.303
1961-09-01,1734.502
1961-10-01,1734.816
1961-11-01,1749.097
1961-12-01,1769.242
1962-01-01,1761.001
1962-02-01,1761.383
1962-03-01,1784.073
1962-04-01,1788.2
1962-05-01,1787.282
1962-06-01,1819.443
1962-07-01,1811.971
1962-08-01,1816.254
1962-09-01,1809.399
1962-10-01,1795.018
1962-11-01,1820.015
1962-12-01,1801.063
1963-01-01,1804.903
1963-02-01,1817.917
1963-03-01,1805.341
1963-04-01,1809.657
1963-05-01,1823.544
1963-06-01,1852.956
1963-07-01,1890.589
1963-08-01,1899.892
1963-09-01,1915.266
1963-10-01,1937.179
1963-11-01,1927.875
1963-12-01,1940.857
1964-01-01,1941.994
1964-02-01,1954.66
1964-03-01,1968.989
1964-04-01,1961.243
1964-05-01,1974.849
1964-06-01,1962.98
1964-07-01,1969.221
1964-08-01,1964.835
1964-09-01,1978.267
1964-10-01,1985.201
1964-11-01,2001.891
1964-12-01,1999.906
1965-01-01,2027
1965-02-01,2030
1965-03-01,2046
1965-04-01,2065
1965-05-01,2073
1965-06-01,2083
1965-07-01,2084
1965-08-01,2095
1965-09-01,2063
1965-10-01,2096
1965-11-01,2104
1965-12-01,2142
1966-01-01,2274
1966-02-01,2267
1966-03-01,2293
1966-04-01,2317
1966-05-01,2315
1966-06-01,2321
1966-07-01,2340
1966-08-01,2393
1966-09-01,2419
1966-10-01,2424
1966-11-01,2378
1966-12-01,2407
1967-01-01,2410
1967-02-01,2438
1967-03-01,2490
1967-04-01,2442
1967-05-01,2477
1967-06-01,2481
1967-07-01,2500
1967-08-01,2509
1967-09-01,2498
1967-10-01,2491
1967-11-01,2531
1967-12-01,2559
1968-01-01,2533
1968-02-01,2541
1968-03-01,2543
1968-04-01,2539
1968-05-01,2539
1968-06-01,2586
1968-07-01,2592
1968-08-01,2615
1968-09-01,2646
1968-10-01,2658
1968-11-01,2700
1968-12-01,2667
1969-01-01,2695
1969-02-01,2720
1969-03-01,2709
1969-04-01,2756
1969-05-01,2741
1969-06-01,2718
1969-07-01,2717
1969-08-01,2733
1969-09-01,2735
1969-10-01,2744
1969-11-01,2735
1969-12-01,2742
1970-01-01,2734
1970-02-01,2751
1970-03-01,2774
1970-04-01,2819
1970-05-01,2857
1970-06-01,2861
1970-07-01,2855
1970-08-01,2828
1970-09-01,2849
1970-10-01,2853
1970-11-01,2871
1970-12-01,2847
1971-01-01,2917
1971-02-01,2940
1971-03-01,2929
1971-04-01,2917
1971-05-01,2921
1971-06-01,2938
1971-07-01,2980
1971-08-01,2961
1971-09-01,3001
1971-10-01,3058
1971-11-01,3040
1971-12-01,3060
1972-01-01,3052
1972-02-01,3029
1972-03-01,3077
1972-04-01,3037
1972-05-01,3036
1972-06-01,3083
1972-07-01,3104
1972-08-01,3123
1972-09-01,3130
1972-10-01,3129
1972-11-01,3180
1972-12-01,3217
1973-01-01,3215
1973-02-01,3266
1973-03-01,3273
1973-04-01,3285
1973-05-01,3300
1973-06-01,3331
1973-07-01,3260
1973-08-01,3299
1973-09-01,3320
1973-10-01,3346
1973-11-01,3370
1973-12-01,3373
1974-01-01,3407
1974-02-01,3399
1974-03-01,3417
1974-04-01,3439
1974-05-01,3445
1974-06-01,3462
1974-07-01,3491
1974-08-01,3507
1974-09-01,3498
1974-10-01,3530
1974-11-01,3537
1974-12-01,3591
1975-01-01,3593
1975-02-01,3602
1975-03-01,3577
1975-04-01,3617
1975-05-01,3654
1975-06-01,3689
1975-07-01,3671
1975-08-01,3664
1975-09-01,3716
1975-10-01,3755
1975-11-01,3798
1975-12-01,3810
1976-01-01,3876.7
1976-02-01,3870.6
1976-03-01,3875.4
1976-04-01,3901.4
1976-05-01,3923.4
1976-06-01,3929
1976-07-01,3954.4
1976-08-01,3979.8
1976-09-01,3980.3
1976-10-01,3980.4
1976-11-01,4010.7
1976-12-01,4034.3
1977-01-01,4047.5
1977-02-01,4064.5
1977-03-01,4057.3
1977-04-01,4080.4
1977-05-01,4086.3
1977-06-01,4083.5
