"Date","XTNTVA01CAM664N"
1960-01-01,21500000
1960-02-01,-23400000
1960-03-01,-34900000
1960-04-01,-1.1e+08
1960-05-01,-29900000
1960-06-01,-29600000
1960-07-01,40900000
1960-08-01,35100000
1960-09-01,19900000
1960-10-01,3.5e+07
1960-11-01,-37900000
1960-12-01,12100000
1961-01-01,28700000
1961-02-01,-25700000
1961-03-01,-18900000
1961-04-01,12500000
1961-05-01,-87600000
1961-06-01,13200000
1961-07-01,71200000
1961-08-01,32300000
1961-09-01,67400000
1961-10-01,6100000
1961-11-01,-23700000
1961-12-01,58500000
1962-01-01,10900000
1962-02-01,-26100000
1962-03-01,-59300000
1962-04-01,-36500000
1962-05-01,-35500000
1962-06-01,12500000
1962-07-01,2200000
1962-08-01,33600000
1962-09-01,23200000
1962-10-01,49500000
1962-11-01,46700000
1962-12-01,68700000
1963-01-01,42100000
1963-02-01,6500000
1963-03-01,23400000
1963-04-01,-26800000
1963-05-01,57100000
1963-06-01,20200000
1963-07-01,22200000
1963-08-01,32900000
1963-09-01,59400000
1963-10-01,19900000
1963-11-01,6.8e+07
1963-12-01,97100000
1964-01-01,68100000
1964-02-01,37200000
1964-03-01,23700000
1964-04-01,-33400000
1964-05-01,27700000
1964-06-01,109800000
1964-07-01,150300000
1964-08-01,126300000
1964-09-01,126100000
1964-10-01,52200000
1964-11-01,51100000
1964-12-01,76300000
1965-01-01,27300000
1965-02-01,6300000
1965-03-01,-23500000
1965-04-01,-33500000
1965-05-01,29400000
1965-06-01,-57500000
1965-07-01,57800000
1965-08-01,43700000
1965-09-01,-5600000
1965-10-01,27400000
1965-11-01,29100000
1965-12-01,32700000
1966-01-01,35300000
1966-02-01,24600000
1966-03-01,-27800000
1966-04-01,-48800000
1966-05-01,-5500000
1966-06-01,-28600000
1966-07-01,60800000
1966-08-01,127100000
1966-09-01,83600000
1966-10-01,-35600000
1966-11-01,16900000
1966-12-01,69500000
1967-01-01,78200000
1967-02-01,62700000
1967-03-01,2100000
1967-04-01,-42100000
1967-05-01,16400000
1967-06-01,60500000
1967-07-01,49500000
1967-08-01,63800000
1967-09-01,-9200000
1967-10-01,51300000
1967-11-01,73900000
1967-12-01,139900000
1968-01-01,26854000
1968-02-01,55081000
1968-03-01,142014000
1968-04-01,26222000
1968-05-01,142728000
1968-06-01,151485000
1968-07-01,156716000
1968-08-01,151495000
1968-09-01,155877000
1968-10-01,83618000
1968-11-01,65752000
1968-12-01,161013000
1969-01-01,21324000
1969-02-01,73959000
1969-03-01,106635000
1969-04-01,-34170000
1969-05-01,57355000
1969-06-01,40441000
1969-07-01,60387000
1969-08-01,72972000
1969-09-01,61094000
1969-10-01,53584000
1969-11-01,52059000
1969-12-01,174988000
1970-01-01,275037000
1970-02-01,189815000
1970-03-01,130089000
1970-04-01,159836000
