"Date","LFIN64TTCAM647S"
1995-01-01,4806158.46351551
1995-02-01,4855788.40754029
1995-03-01,4817991.14507995
1995-04-01,4906940.4176066
1995-05-01,4909510.76046508
1995-06-01,4924070.31523093
1995-07-01,4919352.47989449
1995-08-01,4950199.96768772
1995-09-01,4972103.56680183
1995-10-01,4960716.66395049
1995-11-01,5032804.00288572
1995-12-01,4981884.26504502
1996-01-01,4958279.96896626
1996-02-01,4957377.8870247
1996-03-01,4988616.2916382
1996-04-01,5003925.36946304
1996-05-01,5030303.57708903
1996-06-01,5002820.62028801
1996-07-01,4990162.06541658
1996-08-01,5016899.04003775
1996-09-01,4997844.54067113
1996-10-01,5007826.92161428
1996-11-01,5013561.51361399
1996-12-01,5015944.8365451
1997-01-01,5002748.86914966
1997-02-01,5000991.27197286
1997-03-01,5021222.85077617
1997-04-01,5013165.37395715
1997-05-01,5007107.66184251
1997-06-01,4968686.36720198
1997-07-01,5022799.05917918
1997-08-01,4966780.91260692
1997-09-01,4969160.47299762
1997-10-01,4962742.24202983
1997-11-01,4961915.9010427
1997-12-01,5017994.41943045
1998-01-01,4999581.939092
1998-02-01,4987328.11190858
1998-03-01,4998959.21316199
1998-04-01,4991581.1923881
1998-05-01,5016209.27826186
1998-06-01,4980388.9352949
1998-07-01,4973695.78649562
1998-08-01,4983182.99184016
1998-09-01,4933577.2156534
1998-10-01,4956886.37150197
1998-11-01,4933541.52357762
1998-12-01,4919198.00674381
1999-01-01,4913956.63391795
1999-02-01,4926946.41200684
1999-03-01,4935358.80837669
1999-04-01,4846175.84351455
1999-05-01,4876689.66994562
1999-06-01,4918790.58288152
1999-07-01,4887657.98150319
1999-08-01,4922226.10790619
1999-09-01,4899057.69923256
1999-10-01,4915260.39634087
1999-11-01,4934678.40923915
1999-12-01,4924706.09778636
2000-01-01,4946031.69307763
2000-02-01,4896126.86602042
2000-03-01,4904308.21510239
2000-04-01,4915783.27777746
2000-05-01,4910052.23358058
2000-06-01,4928511.27955325
2000-07-01,4908925.07148554
2000-08-01,4888548.69943202
2000-09-01,4881398.95979485
2000-10-01,4856078.45624708
2000-11-01,4863306.01976047
2000-12-01,4865368.89474765
2001-01-01,4882559.61799951
2001-02-01,4897036.17702376
2001-03-01,4885646.17782171
2001-04-01,4875388.89653463
2001-05-01,4903547.849125
2001-06-01,4942235.8504731
2001-07-01,4972878.96157004
2001-08-01,4964566.99948623
2001-09-01,4967685.18678992
2001-10-01,4968223.39936498
2001-11-01,4941609.39856404
2001-12-01,4910269.71460083
2002-01-01,4848516.99225596
2002-02-01,4879675.3257338
2002-03-01,4834373.22459271
2002-04-01,4834076.44656574
2002-05-01,4797760.04453381
2002-06-01,4797230.28943038
2002-07-01,4738834.00439392
2002-08-01,4702904.77379686
2002-09-01,4702728.2458721
2002-10-01,4710292.90279236
2002-11-01,4692631.18285774
2002-12-01,4671973.69000264
2003-01-01,4696534.14383448
2003-02-01,4658147.16373592
2003-03-01,4681137.89322946
2003-04-01,4682074.06500396
2003-05-01,4660170.62543364
2003-06-01,4653908.95138124
2003-07-01,4637153.50349377
2003-08-01,4622345.0304263
2003-09-01,4645995.99316062
2003-10-01,4662068.67811879
2003-11-01,4652803.52350741
2003-12-01,4653463.54201217
2004-01-01,4689591.76382984
2004-02-01,4709270.56788184
2004-03-01,4720279.37491327
2004-04-01,4702492.27593501
2004-05-01,4708429.51063823
2004-06-01,4664671.91345989
2004-07-01,4723272.40698804
2004-08-01,4757600.78786045
2004-09-01,4755197.14555175
2004-10-01,4738931.43565871
2004-11-01,4723864.15001323
2004-12-01,4755522.92566327
2005-01-01,4805913.14723612
2005-02-01,4791199.6558793
2005-03-01,4841477.78453603
2005-04-01,4872239.0980942
2005-05-01,4848665.42626576
2005-06-01,4874239.69235461
2005-07-01,4890967.27022573
2005-08-01,4870955.29794189
2005-09-01,4892700.35385432
2005-10-01,4870394.00543779
2005-11-01,4926259.34071471
2005-12-01,4910286.60637757
2006-01-01,4863963.98146384
2006-02-01,4902218.0343391
2006-03-01,4888544.26729343
2006-04-01,4881286.7843602
2006-05-01,4851921.47496881
2006-06-01,4886212.71068305
2006-07-01,4835807.27347405
2006-08-01,4888835.56464239
2006-09-01,4882352.82762592
2006-10-01,4901593.33645279
2006-11-01,4896497.48959517
2006-12-01,4873152.04776267
2007-01-01,4842557.62407329
2007-02-01,4857292.63851727
2007-03-01,4845046.75449838
2007-04-01,4860571.03038773
2007-05-01,4863220.94919724
2007-06-01,4860437.8524816
2007-07-01,4820131.52476517
2007-08-01,4842954.28026843
2007-09-01,4848910.25445283
2007-10-01,4823255.17395521
2007-11-01,4823352.52106722
2007-12-01,4824721.68947993
2008-01-01,4839579.72613097
2008-02-01,4838402.61482065
2008-03-01,4834059.39463255
2008-04-01,4861092.96233949
2008-05-01,4855888.39945979
2008-06-01,4848826.30326367
2008-07-01,4913063.36517495
2008-08-01,4897957.71022013
2008-09-01,4872290.80761013
2008-10-01,4842768.7161086
2008-11-01,4875538.83950976
2008-12-01,4882497.92561264
2009-01-01,4933036.31109703
2009-02-01,4910584.07390551
2009-03-01,4907783.98566714
2009-04-01,4931281.32146814
2009-05-01,4931945.88332848
2009-06-01,4968262.45310747
2009-07-01,5000691.12683567
2009-08-01,5013317.02873158
2009-09-01,5056445.48971813
2009-10-01,5069099.40924335
2009-11-01,4999234.54611816
2009-12-01,5056884.71689061
2010-01-01,5065731.79290468
2010-02-01,5081861.7015624
2010-03-01,5089302.72488704
2010-04-01,5070110.10117615
2010-05-01,5079878.7985798
2010-06-01,5053192.1212852
2010-07-01,5043999.63901603
2010-08-01,5026696.63929233
2010-09-01,5063097.25865378
2010-10-01,5111628.28423969
2010-11-01,5109693.44344429
2010-12-01,5114820.31201763
2011-01-01,5058430.39974849
2011-02-01,5066133.2863773
2011-03-01,5088555.55689806
2011-04-01,5069206.40880911
2011-05-01,5123493.91611287
2011-06-01,5104858.23620524
2011-07-01,5120554.81364684
2011-08-01,5120557.62773177
2011-09-01,5137722.30384582
2011-10-01,5156652.12935206
2011-11-01,5164053.30500901
2011-12-01,5176824.42794817
2012-01-01,5152601.14406773
2012-02-01,5180876.17523761
2012-03-01,5161526.08954822
2012-04-01,5074469.14083583
2012-05-01,5090791.48649495
2012-06-01,5153494.66958734
2012-07-01,5152129.70396
2012-08-01,5074120.72879905
2012-09-01,5059553.94031023
2012-10-01,5064242.71889068
2012-11-01,5055753.77392112
2012-12-01,5025874.61199946
2013-01-01,5044602.81342169
2013-02-01,5020537.37779854
2013-03-01,5068453.90136465
2013-04-01,5062806.81330476
2013-05-01,5055488.5531346
2013-06-01,5070027.55090057
2013-07-01,5074660.59337986
2013-08-01,5063428.59125227
2013-09-01,5112293.90363182
2013-10-01,5103461.77368835
2013-11-01,5119755.90626392
2013-12-01,5136080.78791315
2014-01-01,5145710.00182492
2014-02-01,5159792.62939041
2014-03-01,5167855.55707985
2014-04-01,5198402.04853438
2014-05-01,5181701.0190033
2014-06-01,5174721.20030113
2014-07-01,5171245.3785353
2014-08-01,5233291.83420261
2014-09-01,5179225.22177805
2014-10-01,5190275.42828917
2014-11-01,5186745.17395495
2014-12-01,5200875.73216511
2015-01-01,5195159.96748602
2015-02-01,5151344.65280323
2015-03-01,5132502.55437632
2015-04-01,5161971.75810209
2015-05-01,5149657.9998388
2015-06-01,5157734.90216754
2015-07-01,5140495.56133516
2015-08-01,5115770.03385138
2015-09-01,5126097.70265409
2015-10-01,5149835.31743858
2015-11-01,5172793.41739819
2015-12-01,5149340.05991397
2016-01-01,5154562.54819303
2016-02-01,5147728.81918262
2016-03-01,5148488.84674088
2016-04-01,5121514.66934122
2016-05-01,5157981.0213754
2016-06-01,5210052.31715682
2016-07-01,5238100.1597937
2016-08-01,5221601.36698079
2016-09-01,5193554.78485459
2016-10-01,5168765.55322441
2016-11-01,5182194.38936513
2016-12-01,5148801.01425837
2017-01-01,5061482.64215593
2017-02-01,5126129.39210085
2017-03-01,5104025.75527995
2017-04-01,5145249.68588834
2017-05-01,5101171.76403285
2017-06-01,5098705.26973527
2017-07-01,5106887.30337548
2017-08-01,5140099.11688634
2017-09-01,5177644.66546345
2017-10-01,5122838.8775684
2017-11-01,5112610.16538406
2017-12-01,5096062.64253843
2018-01-01,5170399.10940708
2018-02-01,5190415.64304109
2018-03-01,5180359.52538749
2018-04-01,5200952.60749515
2018-05-01,5209912.79355294
2018-06-01,5155047.18144282
2018-07-01,5138718.82547253
2018-08-01,5130785.8137249
2018-09-01,5138425.4629511
2018-10-01,5141628.99791318
2018-11-01,5114981.56254626
2018-12-01,5113452.90255882
2019-01-01,5094454.52971988
2019-02-01,5096159.01947328
2019-03-01,5127515.38260725
2019-04-01,5043890.19666761
2019-05-01,5083965.9100867
2019-06-01,5076360.779177
2019-07-01,5096694.32074609
2019-08-01,5067131.15390273
2019-09-01,5072937.43551541
2019-10-01,5110409.09320968
2019-11-01,5088835.31589526
2019-12-01,5110089.81060664
2020-01-01,5110598.64233658
2020-02-01,5103639.79392017
2020-03-01,5717647.85754312
2020-04-01,6691295.27081378
2020-05-01,6345652.12065597
2020-06-01,5582659.70263054
2020-07-01,5408036.82310802
