"Date","LFEM55TTCAM647S"
1976-01-01,966700
1976-02-01,965100
1976-03-01,968200
1976-04-01,981500
1976-05-01,967700
1976-06-01,964500
1976-07-01,965200
1976-08-01,969900
1976-09-01,992800
1976-10-01,979200
1976-11-01,982100
1976-12-01,994700
1977-01-01,992800
1977-02-01,975400
1977-03-01,979700
1977-04-01,976500
1977-05-01,978500
1977-06-01,960700
1977-07-01,967400
1977-08-01,965000
1977-09-01,985400
1977-10-01,986700
1977-11-01,985900
1977-12-01,983700
1978-01-01,986500
1978-02-01,981000
1978-03-01,980100
1978-04-01,984400
1978-05-01,989000
1978-06-01,987000
1978-07-01,995100
1978-08-01,997600
1978-09-01,1007400
1978-10-01,1005400
1978-11-01,1013200
1978-12-01,1010300
1979-01-01,1029700
1979-02-01,1029800
1979-03-01,1035300
1979-04-01,1041100
1979-05-01,1045700
1979-06-01,1052400
1979-07-01,1053500
1979-08-01,1044100
1979-09-01,1032500
1979-10-01,1026300
1979-11-01,1033700
1979-12-01,1032600
1980-01-01,1050800
1980-02-01,1037400
1980-03-01,1039200
1980-04-01,1034400
1980-05-01,1054100
1980-06-01,1056100
1980-07-01,1067300
1980-08-01,1059200
1980-09-01,1045000
1980-10-01,1052400
1980-11-01,1052800
1980-12-01,1050800
1981-01-01,1039000
1981-02-01,1051800
1981-03-01,1057400
1981-04-01,1039800
1981-05-01,1065600
1981-06-01,1073300
1981-07-01,1086500
1981-08-01,1099800
1981-09-01,1083600
1981-10-01,1080000
1981-11-01,1087900
1981-12-01,1078400
1982-01-01,1068300
1982-02-01,1064100
1982-03-01,1061700
1982-04-01,1052400
1982-05-01,1058000
1982-06-01,1047800
1982-07-01,1033200
1982-08-01,1035500
1982-09-01,1043200
1982-10-01,1042300
1982-11-01,1054000
1982-12-01,1058300
1983-01-01,1050200
1983-02-01,1048700
1983-03-01,1049900
1983-04-01,1052700
1983-05-01,1046000
1983-06-01,1040400
1983-07-01,1031100
1983-08-01,1045700
1983-09-01,1062100
1983-10-01,1067300
1983-11-01,1068200
1983-12-01,1069600
1984-01-01,1070300
1984-02-01,1071000
1984-03-01,1078700
1984-04-01,1056900
1984-05-01,1058800
1984-06-01,1070700
1984-07-01,1054400
1984-08-01,1050100
1984-09-01,1054800
1984-10-01,1053000
1984-11-01,1055500
1984-12-01,1060200
1985-01-01,1065000
1985-02-01,1064000
1985-03-01,1058200
1985-04-01,1057800
1985-05-01,1062200
1985-06-01,1069700
1985-07-01,1069100
1985-08-01,1067800
1985-09-01,1067600
1985-10-01,1060100
1985-11-01,1089200
1985-12-01,1087100
1986-01-01,1078800
1986-02-01,1071800
1986-03-01,1071200
1986-04-01,1073500
1986-05-01,1085100
1986-06-01,1075000
1986-07-01,1075500
1986-08-01,1057400
1986-09-01,1059600
1986-10-01,1051200
1986-11-01,1065000
1986-12-01,1064300
1987-01-01,1061700
1987-02-01,1077100
1987-03-01,1081300
1987-04-01,1078600
1987-05-01,1082600
1987-06-01,1055000
1987-07-01,1068600
1987-08-01,1075800
1987-09-01,1086300
1987-10-01,1077600
1987-11-01,1087400
1987-12-01,1100300
1988-01-01,1080700
1988-02-01,1083400
1988-03-01,1084000
1988-04-01,1090800
1988-05-01,1100600
1988-06-01,1091600
1988-07-01,1099100
1988-08-01,1112400
1988-09-01,1110800
1988-10-01,1110100
1988-11-01,1096100
1988-12-01,1100200
1989-01-01,1095400
1989-02-01,1097900
1989-03-01,1092800
1989-04-01,1091900
1989-05-01,1085500
1989-06-01,1095200
1989-07-01,1080100
1989-08-01,1087700
1989-09-01,1089800
1989-10-01,1092900
1989-11-01,1089600
1989-12-01,1100800
1990-01-01,1096000
1990-02-01,1088200
1990-03-01,1079000
1990-04-01,1096800
1990-05-01,1088500
1990-06-01,1097700
1990-07-01,1107700
1990-08-01,1111400
1990-09-01,1112700
1990-10-01,1108200
1990-11-01,1086300
1990-12-01,1087300
1991-01-01,1065900
1991-02-01,1060400
1991-03-01,1055500
1991-04-01,1067000
1991-05-01,1054100
1991-06-01,1060200
1991-07-01,1061800
1991-08-01,1057700
1991-09-01,1066700
1991-10-01,1082600
1991-11-01,1063500
1991-12-01,1052900
1992-01-01,1046600
1992-02-01,1045700
1992-03-01,1025000
1992-04-01,1039100
1992-05-01,1046900
1992-06-01,1037500
1992-07-01,1035700
1992-08-01,1033400
1992-09-01,1050900
1992-10-01,1081400
1992-11-01,1071300
1992-12-01,1067900
1993-01-01,1059400
1993-02-01,1065100
1993-03-01,1054800
1993-04-01,1064600
1993-05-01,1030600
1993-06-01,1027100
1993-07-01,1032800
1993-08-01,1019400
1993-09-01,1012700
1993-10-01,1034500
1993-11-01,1045600
1993-12-01,1026700
1994-01-01,1023500
1994-02-01,1041000
1994-03-01,1043300
1994-04-01,1074800
1994-05-01,1062700
1994-06-01,1077900
1994-07-01,1061100
1994-08-01,1074200
1994-09-01,1068600
1994-10-01,1091700
1994-11-01,1088900
1994-12-01,1088500
1995-01-01,1066700
1995-02-01,1073300
1995-03-01,1063700
1995-04-01,1059200
1995-05-01,1046700
1995-06-01,1056800
1995-07-01,1052700
1995-08-01,1063400
1995-09-01,1061400
1995-10-01,1082700
1995-11-01,1075900
1995-12-01,1074200
1996-01-01,1063200
1996-02-01,1073800
1996-03-01,1072300
1996-04-01,1076300
1996-05-01,1080500
1996-06-01,1102900
1996-07-01,1096300
1996-08-01,1100800
1996-09-01,1077400
1996-10-01,1088600
1996-11-01,1089700
1996-12-01,1096200
1997-01-01,1082000
1997-02-01,1110300
1997-03-01,1116400
1997-04-01,1130100
1997-05-01,1120900
1997-06-01,1135900
1997-07-01,1121700
1997-08-01,1139000
1997-09-01,1130700
1997-10-01,1149900
1997-11-01,1148300
1997-12-01,1162900
1998-01-01,1147000
1998-02-01,1174700
1998-03-01,1174300
1998-04-01,1158000
1998-05-01,1155500
1998-06-01,1172700
1998-07-01,1178300
1998-08-01,1181300
1998-09-01,1207000
1998-10-01,1210300
1998-11-01,1210000
1998-12-01,1200700
1999-01-01,1219100
1999-02-01,1218800
1999-03-01,1221900
1999-04-01,1253700
1999-05-01,1246300
1999-06-01,1248400
1999-07-01,1255900
1999-08-01,1259500
1999-09-01,1271100
1999-10-01,1284800
1999-11-01,1288300
1999-12-01,1299000
2000-01-01,1320100
2000-02-01,1322200
2000-03-01,1313500
2000-04-01,1324400
2000-05-01,1326800
2000-06-01,1320500
2000-07-01,1328500
2000-08-01,1338700
2000-09-01,1318000
2000-10-01,1340300
2000-11-01,1356800
2000-12-01,1356700
2001-01-01,1348900
2001-02-01,1345900
2001-03-01,1387700
2001-04-01,1364900
2001-05-01,1373600
2001-06-01,1396200
2001-07-01,1404400
2001-08-01,1398900
2001-09-01,1401700
2001-10-01,1414200
2001-11-01,1409400
2001-12-01,1425900
2002-01-01,1453500
2002-02-01,1457100
2002-03-01,1466400
2002-04-01,1481100
2002-05-01,1489300
2002-06-01,1515200
2002-07-01,1524800
2002-08-01,1549700
2002-09-01,1554200
2002-10-01,1569200
2002-11-01,1597900
2002-12-01,1612200
2003-01-01,1638300
2003-02-01,1644000
2003-03-01,1654900
2003-04-01,1662400
2003-05-01,1676300
2003-06-01,1683500
2003-07-01,1699800
2003-08-01,1719800
2003-09-01,1729500
2003-10-01,1730500
2003-11-01,1749400
2003-12-01,1768200
2004-01-01,1766200
2004-02-01,1777500
2004-03-01,1762600
2004-04-01,1779500
2004-05-01,1803700
2004-06-01,1786600
2004-07-01,1793200
2004-08-01,1793600
2004-09-01,1827800
2004-10-01,1841600
2004-11-01,1861700
2004-12-01,1850600
2005-01-01,1870900
2005-02-01,1879400
2005-03-01,1891900
2005-04-01,1900400
2005-05-01,1900200
2005-06-01,1914700
2005-07-01,1917500
2005-08-01,1924900
2005-09-01,1923100
2005-10-01,1932300
2005-11-01,1932700
2005-12-01,1947500
2006-01-01,1958400
2006-02-01,1967300
2006-03-01,1969600
2006-04-01,1966200
2006-05-01,1985800
2006-06-01,2003200
2006-07-01,2015300
2006-08-01,2008300
2006-09-01,2018900
2006-10-01,2017400
2006-11-01,2039400
2006-12-01,2058500
2007-01-01,2057000
2007-02-01,2084800
2007-03-01,2086200
2007-04-01,2106100
2007-05-01,2101800
2007-06-01,2108200
2007-07-01,2123000
2007-08-01,2144700
2007-09-01,2132200
2007-10-01,2155000
2007-11-01,2160900
2007-12-01,2180100
2008-01-01,2198900
2008-02-01,2197800
2008-03-01,2205800
2008-04-01,2183200
2008-05-01,2195400
2008-06-01,2200600
2008-07-01,2205400
2008-08-01,2207800
2008-09-01,2206300
2008-10-01,2220600
2008-11-01,2233400
2008-12-01,2260000
2009-01-01,2281700
2009-02-01,2268900
2009-03-01,2276700
2009-04-01,2281300
2009-05-01,2290300
2009-06-01,2298600
2009-07-01,2304500
2009-08-01,2320400
2009-09-01,2318400
2009-10-01,2314100
2009-11-01,2340600
2009-12-01,2350200
2010-01-01,2348500
2010-02-01,2375100
2010-03-01,2359600
2010-04-01,2358700
2010-05-01,2383700
2010-06-01,2399500
2010-07-01,2418400
2010-08-01,2407100
2010-09-01,2464700
2010-10-01,2478800
2010-11-01,2513400
2010-12-01,2512500
2011-01-01,2516400
2011-02-01,2517600
2011-03-01,2492300
2011-04-01,2501400
2011-05-01,2492400
2011-06-01,2510500
2011-07-01,2511500
2011-08-01,2499900
2011-09-01,2508000
2011-10-01,2515200
2011-11-01,2527400
2011-12-01,2563100
2012-01-01,2562600
2012-02-01,2581300
2012-03-01,2607700
2012-04-01,2607600
2012-05-01,2603200
2012-06-01,2595400
2012-07-01,2601300
2012-08-01,2644300
2012-09-01,2645900
2012-10-01,2654500
2012-11-01,2655500
2012-12-01,2668100
2013-01-01,2698100
2013-02-01,2704900
2013-03-01,2702700
2013-04-01,2710100
2013-05-01,2732500
2013-06-01,2715700
2013-07-01,2722300
2013-08-01,2748600
2013-09-01,2737500
2013-10-01,2742800
2013-11-01,2758500
2013-12-01,2759600
2014-01-01,2768200
2014-02-01,2775400
2014-03-01,2769100
2014-04-01,2799700
2014-05-01,2798500
2014-06-01,2832100
2014-07-01,2833100
2014-08-01,2799600
2014-09-01,2805700
2014-10-01,2800200
2014-11-01,2807000
2014-12-01,2799400
2015-01-01,2824100
2015-02-01,2852300
2015-03-01,2885100
2015-04-01,2872800
2015-05-01,2880600
2015-06-01,2888000
2015-07-01,2895900
2015-08-01,2904400
2015-09-01,2900800
2015-10-01,2913500
2015-11-01,2916300
2015-12-01,2936700
2016-01-01,2935900
2016-02-01,2953300
2016-03-01,2956900
2016-04-01,2969300
2016-05-01,2995300
2016-06-01,2979800
2016-07-01,2981800
2016-08-01,3000300
2016-09-01,3037700
2016-10-01,3046700
2016-11-01,3021700
2016-12-01,3013000
2017-01-01,3053400
2017-02-01,3047600
2017-03-01,3035500
2017-04-01,3042700
2017-05-01,3039200
2017-06-01,3066700
2017-07-01,3075700
2017-08-01,3111600
2017-09-01,3103000
2017-10-01,3122500
2017-11-01,3150700
2017-12-01,3167600
2018-01-01,3147700
2018-02-01,3142400
2018-03-01,3161900
2018-04-01,3144000
2018-05-01,3182000
2018-06-01,3190600
2018-07-01,3208400
2018-08-01,3208000
2018-09-01,3218300
2018-10-01,3232400
2018-11-01,3247300
2018-12-01,3229300
2019-01-01,3207700
2019-02-01,3181600
2019-03-01,3212500
2019-04-01,3229100
2019-05-01,3267300
2019-06-01,3283300
2019-07-01,3284200
2019-08-01,3289700
2019-09-01,3293500
2019-10-01,3300100
2019-11-01,3310000
2019-12-01,3293100
2020-01-01,3307100
2020-02-01,3280700
2020-03-01,3179700
2020-04-01,2851100
2020-05-01,2933800
2020-06-01,3007400
2020-07-01,3077300
2020-08-01,3142600
2020-09-01,3193900
2020-10-01,3240700
2020-11-01,3253400
2020-12-01,3248500
2021-01-01,3234600
2021-02-01,3224100
2021-03-01,3314100
2021-04-01,3252500
2021-05-01,3273500
2021-06-01,3276600
2021-07-01,3264500
2021-08-01,3273400
2021-09-01,3299000
2021-10-01,3288900
2021-11-01,3310600
2021-12-01,3271200
2022-01-01,3256800
2022-02-01,3247100
2022-03-01,3298300
2022-04-01,3274300
2022-05-01,3306600
2022-06-01,3250500
2022-07-01,3265200
2022-08-01,3238100
2022-09-01,3298200
2022-10-01,3307400
2022-11-01,3312300
2022-12-01,3291600
2023-01-01,3302600
2023-02-01,3316800
2023-03-01,3343500
2023-04-01,3342700
2023-05-01,3375300
2023-06-01,3330900
2023-07-01,3335100
2023-08-01,3280500
2023-09-01,3288700
2023-10-01,3317300
2023-11-01,3337200
