"Date","LRINTTMACAM156S"
1995-01-01,27.1066337785234
1995-02-01,27.3786191731138
1995-03-01,27.1186649751058
1995-04-01,27.4518666700627
1995-05-01,27.4352220801987
1995-06-01,27.5937766454541
1995-07-01,27.5361177062119
1995-08-01,27.6321228495661
1995-09-01,27.8136065286664
1995-10-01,27.7038105833656
1995-11-01,28.039652069745
1995-12-01,27.6600100102791
1996-01-01,27.5378321171865
1996-02-01,27.6064010748842
1996-03-01,27.74923739604
1996-04-01,27.7686698770482
1996-05-01,27.9431727641097
1996-06-01,27.8795874786502
1996-07-01,27.8593232954472
1996-08-01,27.9930049733316
1996-09-01,28.0384594027372
1996-10-01,27.991541357094
1996-11-01,27.9366090273983
1996-12-01,27.9270408540021
1997-01-01,27.9424411583959
1997-02-01,27.8547536262864
1997-03-01,28.0028714069436
1997-04-01,28.0221598013354
1997-05-01,27.851392910863
1997-06-01,27.8163714448688
1997-07-01,27.9750395615489
1997-08-01,27.6489014753888
1997-09-01,27.5550602699135
1997-10-01,27.507154823859
1997-11-01,27.598061013116
1997-12-01,27.7271805032837
1998-01-01,27.8364715801664
1998-02-01,27.8669814784353
1998-03-01,27.9687215059986
1998-04-01,27.925447481671
1998-05-01,28.0211776437889
1998-06-01,27.7737830258663
1998-07-01,27.8117365258384
1998-08-01,27.9113048693791
1998-09-01,27.8694453403003
1998-10-01,27.9253102311181
1998-11-01,27.8437975612658
1998-12-01,27.8740503968314
1999-01-01,27.8138671047222
1999-02-01,27.7605108320006
1999-03-01,27.7548081218388
1999-04-01,27.429222674056
1999-05-01,27.6133228357804
1999-06-01,27.6885638203183
1999-07-01,27.5981501731582
1999-08-01,27.7065861470826
1999-09-01,27.5194023627422
1999-10-01,27.5077432914124
1999-11-01,27.6203602313973
1999-12-01,27.5586356604765
2000-01-01,27.6781555321796
2000-02-01,27.6568079795312
2000-03-01,27.675565368966
2000-04-01,27.6837263637235
2000-05-01,27.6495114876327
2000-06-01,27.7938178035313
2000-07-01,27.7843908820936
2000-08-01,27.6704194377356
2000-09-01,27.6625334499279
2000-10-01,27.6209620113514
2000-11-01,27.5809964691159
2000-12-01,27.5626203014051
2001-01-01,27.7005964507391
2001-02-01,27.6514177233181
2001-03-01,27.6695253504641
2001-04-01,27.6353364787077
2001-05-01,27.7474754154896
2001-06-01,27.7593395145696
2001-07-01,27.958519400375
2001-08-01,27.8050942140899
2001-09-01,27.8907940757093
2001-10-01,27.7605769695132
2001-11-01,27.7869742619939
2001-12-01,27.6266697407475
2002-01-01,27.3334074842639
2002-02-01,27.3636497111882
2002-03-01,27.1795369685608
2002-04-01,27.25015574356
2002-05-01,27.0256991843312
2002-06-01,27.1255619936667
2002-07-01,26.8889390229897
2002-08-01,26.8051122507483
2002-09-01,26.8131992539264
2002-10-01,26.9030661294773
2002-11-01,26.7950607461171
2002-12-01,26.6755045613265
2003-01-01,26.7173456657584
2003-02-01,26.5530970942116
2003-03-01,26.6662411040633
2003-04-01,26.5900439082839
2003-05-01,26.6042010815226
2003-06-01,26.4994252853862
2003-07-01,26.5250820612961
2003-08-01,26.5552763900453
2003-09-01,26.5814992605466
2003-10-01,26.6397294099043
2003-11-01,26.6145662562937
2003-12-01,26.7976761829796
2004-01-01,26.7692194663842
2004-02-01,26.8598320976444
2004-03-01,26.8304935994729
2004-04-01,26.7844657320619
2004-05-01,26.9388212344142
2004-06-01,26.8262571885569
2004-07-01,26.9248146105271
2004-08-01,26.985598464644
2004-09-01,26.8901786933645
2004-10-01,26.811741765121
2004-11-01,26.8521719753013
2004-12-01,26.851115998997
2005-01-01,27.109697475942
2005-02-01,27.0562713772501
2005-03-01,27.142995625526
2005-04-01,27.2667238873033
2005-05-01,27.0900379145782
2005-06-01,27.2112660110033
2005-07-01,27.066207356482
2005-08-01,27.1200608085753
2005-09-01,27.2901028509512
2005-10-01,27.2860390854734
2005-11-01,27.4417411223148
2005-12-01,27.4717613633288
2006-01-01,27.3402904261436
2006-02-01,27.4053327402972
2006-03-01,27.349398332859
2006-04-01,27.4540963832561
2006-05-01,27.2951027553872
2006-06-01,27.4338568972665
2006-07-01,27.2856514040415
2006-08-01,27.2786465172331
2006-09-01,27.2137133476248
2006-10-01,27.4231446688813
2006-11-01,27.3375572479745
2006-12-01,27.3725209506083
2007-01-01,27.2461796576852
2007-02-01,27.3411497351274
2007-03-01,27.4316630032867
2007-04-01,27.367708265373
2007-05-01,27.3612739112417
2007-06-01,27.318844833698
2007-07-01,27.271325940018
2007-08-01,27.3461495813182
2007-09-01,27.4533231851884
2007-10-01,27.2441961958034
2007-11-01,27.1114810812096
2007-12-01,27.0763892083144
2008-01-01,27.0348571341439
2008-02-01,27.1758244569699
2008-03-01,26.9838288166871
2008-04-01,27.0619471381836
2008-05-01,27.2233739035859
2008-06-01,27.0159432119223
2008-07-01,27.257829847518
2008-08-01,27.1939048312855
2008-09-01,26.9484743885838
2008-10-01,27.0002074985186
2008-11-01,27.2129804214738
2008-12-01,27.3699884347183
2009-01-01,27.4190619422581
2009-02-01,27.3144703865462
2009-03-01,27.4577421862284
2009-04-01,27.5891896991586
2009-05-01,27.5741693002893
2009-06-01,27.7250690812961
2009-07-01,27.8000892469929
2009-08-01,28.0286222099965
2009-09-01,28.1731287737578
2009-10-01,28.0246495532397
2009-11-01,27.8867605327061
2009-12-01,27.9909708381124
2010-01-01,28.1589111204939
2010-02-01,28.231894057319
2010-03-01,28.2338415719111
2010-04-01,28.1412598530859
2010-05-01,28.1691070449543
2010-06-01,28.1737517215724
2010-07-01,28.0295225195072
