"Date","LFUN24MACAM647N"
1976-01-01,234100
1976-02-01,224700
1976-03-01,217200
1976-04-01,207100
1976-05-01,205700
1976-06-01,216800
1976-07-01,252000
1976-08-01,187000
1976-09-01,156400
1976-10-01,173000
1976-11-01,187400
1976-12-01,208200
1977-01-01,246500
1977-02-01,250700
1977-03-01,241100
1977-04-01,230100
1977-05-01,225700
1977-06-01,235900
1977-07-01,278300
1977-08-01,228800
1977-09-01,211500
1977-10-01,207700
1977-11-01,230600
1977-12-01,246100
1978-01-01,272400
1978-02-01,270400
1978-03-01,271900
1978-04-01,263700
1978-05-01,248600
1978-06-01,245100
1978-07-01,277600
1978-08-01,227700
1978-09-01,202500
1978-10-01,192800
1978-11-01,218800
1978-12-01,234800
1979-01-01,263500
1979-02-01,271900
1979-03-01,259000
1979-04-01,254100
1979-05-01,231900
1979-06-01,209600
1979-07-01,218500
1979-08-01,183500
1979-09-01,169000
1979-10-01,191800
1979-11-01,200800
1979-12-01,213700
1980-01-01,252400
1980-02-01,242800
1980-03-01,263300
1980-04-01,249500
1980-05-01,244300
1980-06-01,270200
1980-07-01,256000
1980-08-01,222100
1980-09-01,186200
1980-10-01,196900
1980-11-01,205600
1980-12-01,224900
1981-01-01,258300
1981-02-01,250100
1981-03-01,275000
1981-04-01,234300
1981-05-01,233300
1981-06-01,240900
1981-07-01,239200
1981-08-01,201600
1981-09-01,218900
1981-10-01,233400
1981-11-01,247600
1981-12-01,267700
1982-01-01,305800
1982-02-01,303700
1982-03-01,336400
1982-04-01,328100
1982-05-01,340800
1982-06-01,361600
1982-07-01,409600
1982-08-01,358700
1982-09-01,326600
1982-10-01,350600
1982-11-01,351800
1982-12-01,381000
1983-01-01,397300
1983-02-01,397200
1983-03-01,423300
1983-04-01,404600
1983-05-01,387400
1983-06-01,375100
1983-07-01,382000
1983-08-01,339000
1983-09-01,283000
1983-10-01,281900
1983-11-01,313100
1983-12-01,325600
1984-01-01,343000
1984-02-01,338100
1984-03-01,354100
1984-04-01,347600
1984-05-01,345100
1984-06-01,309400
1984-07-01,317700
1984-08-01,285100
1984-09-01,264300
1984-10-01,260700
1984-11-01,286200
1984-12-01,275000
1985-01-01,298700
1985-02-01,293800
1985-03-01,334400
1985-04-01,298700
1985-05-01,291000
1985-06-01,283500
1985-07-01,284000
1985-08-01,254600
1985-09-01,231000
1985-10-01,244900
1985-11-01,262100
1985-12-01,266800
1986-01-01,284600
1986-02-01,300600
